"아이디","geometry","관리번호","관할경찰서","구","동","시설명","시설구분","주소","x좌표","y좌표"
"2547","MULTIPOINT(947559.238352487 1956811.63590965)","0","은평경찰서","은평구","","구현초등","초등학교","서울특별시 은평구 갈현로15길 51","126.9058482","37.609239"
"2548","MULTIPOINT(948035.869403241 1957507.51119859)","0","은평경찰서","은평구","","다우림어린이집","어린이집","서울특별시 은평구 갈현로19길 16","126.9111987","37.615538"
"2549","MULTIPOINT(948163.972664949 1957970.92639147)","0","은평경찰서","은평구","","선일초등","초등학교","서울특별시 은평구 갈현로29길 27","126.9126173","37.619722"
"2550","MULTIPOINT(948239.851300479 1958395.72615699)","0","은평경찰서","은평구","","수성어린이집","어린이집","서울특별시 은평구 갈현로33가길 24-1","126.913447","37.623555"
"2551","MULTIPOINT(947460.886475995 1955863.87520386)","0","서부경찰서","서부구","","하늘어린이집","어린이집","서울특별시 은평구 갈현로3길 48","126.904802","37.6006912"
"2552","MULTIPOINT(948292.232120098 1955787.19529243)","0","서부경찰서","서부구","","보람유치원","유치원","서울특별시 은평구 갈현로4길 42","126.914225","37.6000472"
"2553","MULTIPOINT(949516.325514718 1956317.4025973)","0","서부경찰서","서부구","","하나연어린이집","어린이집","서울특별시 은평구 녹번로 29-2","126.928055","37.604894"
"2554","MULTIPOINT(949344.324741744 1956251.54916679)","0","서부경찰서","서부구","","녹번초등","초등학교","서울특별시 은평구 녹번로1길 1","126.926111","37.604291"
"2555","MULTIPOINT(951514.521658498 1961760.53754882)","0","은평경찰서","은평구","","북한산초등","초등학교","서울특별시 은평구 대서문길 42-3","126.950331","37.6540608"
"2556","MULTIPOINT(949034.909835194 1954538.93411435)","0","서부경찰서","서부구","","구립응암어린이집","어린이집","서울특별시 은평구 백련산로 36","126.922725","37.588838"
"2557","MULTIPOINT(949522.966479128 1955572.85372236)","0","서부경찰서","서부구","","꿈나무마을어린이집","어린이집","서울특별시 은평구 백련산로14길 20-11","126.9281816","37.5981837"
"2558","MULTIPOINT(949246.789458168 1954723.2687601)","0","서부경찰서","서부구","","연은초등","초등학교","서울특별시 은평구 백련산로2길 35","126.925112043","37.5905111346"
"2559","MULTIPOINT(949928.566520069 1957576.33862208)","0","은평경찰서","은평구","","새보람유치원","유치원","서울특별시 은평구 불광로 107","126.932639","37.6162634"
"2560","MULTIPOINT(949757.336133129 1957262.84749678)","0","은평경찰서","은평구","","불광초등","초등학교","서울특별시 은평구 불광로 51","126.930720412","37.6134285463"
"2561","MULTIPOINT(950073.039884208 1958044.29821102)","0","은평경찰서","은평구","","수리초등","초등학교","서울특별시 은평구 불광로14길 10-10","126.934244","37.620489"
"2562","MULTIPOINT(947881.013842102 1957165.6019552)","0","은평경찰서","은평구","","구산초등","초등학교","서울특별시 은평구 서오릉로15길 16","126.9094685","37.6124476"
"2563","MULTIPOINT(946621.724574657 1954134.6242598)","0","서부경찰서","서부구","","수색초등(병설포함)","초등학교","서울특별시 은평구 수색로16길 21","126.895422","37.5850571"
"2564","MULTIPOINT(946628.039903474 1954136.34772718)","0","서부경찰서","서부구","","수색초등","초등학교","서울특별시 은평구 수색로16길 21","126.8954934","37.585073"
"2565","MULTIPOINT(948381.972463162 1956910.77448727)","0","은평경찰서","은평구","","예일(예일초교 중복)","유치원","서울특별시 은평구 연서로 117","126.9151623","37.6101791"
"2566","MULTIPOINT(949550.067779998 1958687.81790345)","0","서부경찰서","서부구","","연신초등","초등학교","서울특별시 은평구 연서로 347","126.9282737","37.6262605"
"2567","MULTIPOINT(948577.314178705 1956689.42309814)","0","은평경찰서","은평구","","백합유치원","유치원","서울특별시 은평구 연서로14길 14-5","126.917391","37.608195"
"2568","MULTIPOINT(948240.856802468 1957282.66241718)","0","은평경찰서","은평구","","보림유치원","유치원","서울특별시 은평구 연서로17길 35-1","126.9135372","37.613523"
"2569","MULTIPOINT(948770.644892316 1957246.11769784)","0","은평경찰서","은평구","","대조초등","초등학교","서울특별시 은평구 연서로18길 17","126.9195423","37.6132233"
"2570","MULTIPOINT(948542.811943843 1957812.27917109)","0","은평경찰서","은평구","","성균관(갈현초교 중복)","유치원","서울특별시 은평구 연서로27길 23","126.9169211","37.6183134"
"2571","MULTIPOINT(948518.949126194 1957920.41570545)","0","은평경찰서","은평구","","갈현초등","초등학교","서울특별시 은평구 연서로29길 31","126.9166431","37.6192867"
"2572","MULTIPOINT(949653.487948706 1958081.89812909)","0","은평경찰서","은평구","","연천초등","초등학교","서울특별시 은평구 연서로34길 22","126.9294874","37.620805"
"2573","MULTIPOINT(949172.9664154 1958420.05895208)","0","은평경찰서","은평구","","연광초등(병설포함)","초등학교","서울특별시 은평구 연서로35길 37","126.924019","37.6238264"
"2574","MULTIPOINT(949177.142883873 1958421.87510133)","0","은평경찰서","은평구","","연광초등","초등학교","서울특별시 은평구 연서로35길 37","126.9240662","37.623843"
"2575","MULTIPOINT(949373.29556883 1958347.31511974)","0","은평경찰서","은평구","","이삭어린이집","어린이집","서울특별시 은평구 연서로37길 19","126.9262941","37.6231818173"
"2576","MULTIPOINT(950048.458759173 1955988.29578037)","0","서부경찰서","서부구","","은평초등(병설포함)","초등학교","서울특별시 은평구 은평로 239","126.9341059","37.6019568"
"2577","MULTIPOINT(950048.469591101 1955990.0931049)","0","서부경찰서","서부구","","은평초등","초등학교","서울특별시 은평구 은평로 239","126.9341059","37.601973"
"2578","MULTIPOINT(948048.18164519 1955672.97787128)","0","서부경찰서","서부구","","은평국제유치원","유치원","서울특별시 은평구 은평로3가길 32","126.9114685","37.599004"
"2579","MULTIPOINT(948296.993806636 1955974.57183477)","0","은평경찰서","은평구","","역촌초등","초등학교","서울특별시 은평구 은평로3길 25","126.9142657","37.6017363"
"2580","MULTIPOINT(948697.589335892 1955553.267624)","0","서부경찰서","서부구","","은명초등(병설포함)","초등학교","서울특별시 은평구 은평로4길 21-9","126.9188333","37.5979615"
"2581","MULTIPOINT(948697.600665157 1955555.09823235)","0","서부경찰서","서부구","","은명초등","초등학교","서울특별시 은평구 은평로4길 21-9","126.9188333","37.597978"
"2582","MULTIPOINT(947687.979576049 1954932.63004577)","0","서부경찰서","서부구","","서신초등(병설포함)","초등학교","서울특별시 은평구 은평터널로 150","126.9074411","37.5923108"
"2583","MULTIPOINT(947687.990915927 1954934.42736958)","0","서부경찰서","서부구","","서신초등","초등학교","서울특별시 은평구 은평터널로 150","126.9074411","37.592327"
