학교명,주소
예일초등학교,서울특별시 은평구 연서로 117
선일초등학교,서울특별시 은평구 갈현로29길 27
서울홍제초등학교,서울특별시 서대문구 홍은중앙로 13
서울홍은초등학교,서울특별시 서대문구 세검정로 105
서울홍연초등학교,서울특별시 서대문구 백련사길 55
서울한서초등학교,서울특별시 마포구 대흥로24바길 27
서울창천초등학교,서울특별시 마포구 백범로1길 56
서울창서초등학교,서울특별시 서대문구 연세로5나길 30-3
서울진관초등학교,서울특별시 은평구 진관4로 78-16
서울증산초등학교,서울특별시 은평구 증산서길 61
서울중동초등학교,서울특별시 마포구 월드컵북로 152
서울인왕초등학교,서울특별시 서대문구 세무서길 33-9
서울응암초등학교,서울특별시 은평구 가좌로6길 20
서울은평초등학교,서울특별시 은평구 은평로 239
서울은진초등학교,서울특별시 은평구 진관1로 21-20
서울은명초등학교,서울특별시 은평구 은평로4길 21-9
서울용강초등학교,서울특별시 마포구 백범로17길 9
서울염리초등학교,서울특별시 마포구 토정로37길 37
서울연희초등학교,서울특별시 서대문구 연희로 136
서울연천초등학교,서울특별시 은평구 연서로34길 22
서울연은초등학교,서울특별시 은평구 백련산로2길 35
서울연신초등학교,서울특별시 은평구 연서로 347
서울연광초등학교,서울특별시 은평구 연서로35길 37
서울연가초등학교,서울특별시 서대문구 증가로12가길 49-50
서울역촌초등학교,서울특별시 은평구 은평로3길 25
서울안산초등학교,서울특별시 서대문구 통일로 321
서울아현초등학교,서울특별시 마포구 굴레방로 6
서울신석초등학교,서울특별시 마포구 대흥로 33
서울신사초등학교,서울특별시 은평구 가좌로 275-2
서울신북초등학교,서울특별시 마포구 월드컵북로38길 26
서울신도초등학교,서울특별시 은평구 진관1로 77-23
서울수색초등학교,서울특별시 은평구 수색로16길 21
서울소의초등학교,서울특별시 마포구 마포대로24길 42
서울성원초등학교,서울특별시 마포구 월드컵로36길 34
서울성서초등학교,서울특별시 마포구 성미산로7길 24
서울성산초등학교,서울특별시 마포구 양화로3길 94
서울서신초등학교,서울특별시 은평구 은평터널로 150
서울서교초등학교,서울특별시 마포구 와우산로23길 20-27
서울서강초등학교,서울특별시 마포구 독막로 113
서울상지초등학교,서울특별시 마포구 월드컵로42길 30
서울상암초등학교,서울특별시 마포구 월드컵북로 353
서울상신초등학교,서울특별시 은평구 가좌로 361
서울불광초등학교,서울특별시 은평구 불광로 51
서울북한산초등학교,서울특별시 은평구 대서문길 42-3
서울북성초등학교,서울특별시 서대문구 북아현로1나길 22
서울북가좌초등학교,서울특별시 서대문구 거북골로19길 20
서울미동초등학교,서울특별시 서대문구 충정로 52
서울망원초등학교,서울특별시 마포구 방울내로5길 28
서울마포초등학교,서울특별시 마포구 도화2길 64
서울동교초등학교,서울특별시 마포구 월드컵로25길 86
서울대조초등학교,서울특별시 은평구 연서로18길 17
서울대은초등학교,서울특별시 은평구 통일로69길 12-15
서울대신초등학교,서울특별시 서대문구 이화여대2길 27
서울녹번초등학교,서울특별시 은평구 녹번로1길 1
서울금화초등학교,서울특별시 서대문구 통일로 165
서울구현초등학교,서울특별시 은평구 갈현로15길 51
서울구산초등학교,서울특별시 은평구 서오릉로15길 16
서울공덕초등학교,서울특별시 마포구 만리재옛길 13
서울고은초등학교,서울특별시 서대문구 모래내로 441
서울갈현초등학교,서울특별시 은평구 연서로29길 31
명지초등학교,서울특별시 서대문구 명지2길 32-20
경기초등학교,서울특별시 서대문구 경기대로9길 10
서울양원숲초등학교,서울특별시 중랑구 양원역로 95
서울새솔초등학교,서울특별시 중랑구 신내역로1길 164
서울삼육초등학교,서울특별시 동대문구 회기로10길 63
은석초등학교,서울특별시 동대문구 장안벚꽃로 205
서울휘봉초등학교,서울특별시 동대문구 장안벚꽃로 309
서울휘경초등학교,서울특별시 동대문구 망우로6길 48
서울홍파초등학교,서울특별시 동대문구 고산자로 518
서울홍릉초등학교,서울특별시 동대문구 회기로 90
서울청량초등학교,서울특별시 동대문구 회기로25길 31
서울중흥초등학교,서울특별시 중랑구 봉화산로 82
서울중화초등학교,서울특별시 중랑구 신내로7가길 22
서울중목초등학교,서울특별시 중랑구 동일로 665
서울중랑초등학교,서울특별시 중랑구 봉우재로6길 26
서울중곡초등학교,서울특별시 중랑구 면목로23길 20
서울종암초등학교,서울특별시 동대문구 무학로44길 25
서울전동초등학교,서울특별시 동대문구 전농로16길 61
서울전농초등학교,서울특별시 동대문구 사가정로 66
서울전곡초등학교,서울특별시 동대문구 전농로 172
서울장평초등학교,서울특별시 동대문구 답십리로
서울이문초등학교,서울특별시 동대문구 신이문로 16
서울원묵초등학교,서울특별시 중랑구 숙선옹주로 109
서울용두초등학교,서울특별시 동대문구 천호대로13길 43
서울안평초등학교,서울특별시 동대문구 장한로14길 61
서울신현초등학교,서울특별시 중랑구 봉화산로 188
서울신묵초등학교,서울특별시 중랑구 동일로149길 46
서울신답초등학교,서울특별시 동대문구 천호대로 177
서울신내초등학교,서울특별시 중랑구 용마산로125나길 22
서울상봉초등학교,서울특별시 중랑구 동일로126가길 11
서울봉화초등학교,서울특별시 중랑구 신내로15길 110
서울배봉초등학교,서울특별시 동대문구 사가정로 193
서울묵현초등학교,서울특별시 중랑구 동일로157길 75
서울묵동초등학교,서울특별시 중랑구 동일로138길 27
서울면중초등학교,서울특별시 중랑구 용마산로70길 43
서울면일초등학교,서울특별시 중랑구 용마산로100길 13
서울면북초등학교,서울특별시 중랑구 용마공원로5길 32
서울면목초등학교,서울특별시 중랑구 면목로 434
서울면동초등학교,서울특별시 중랑구 면목로57길 32
서울면남초등학교,서울특별시 중랑구 면목로30나길 38
서울망우초등학교,서울특별시 중랑구 망우로72길 49
서울동원초등학교,서울특별시 중랑구 송림길 114
서울동답초등학교,서울특별시 동대문구 답십리로60길 12
서울답십리초등학교,서울특별시 동대문구 전농로3길 23
서울군자초등학교,서울특별시 동대문구 한천로6길 21
금성초등학교,서울특별시 중랑구 신내로21길 55
경희초등학교,서울특별시 동대문구 경희대로 26
