학교명,주소
서울송전초등학교,서울특별시 송파구 석촌호수로 159
서울송례초등학교,서울특별시 송파구 위례순환로 439
서울세륜초등학교,서울특별시 송파구 양재대로 1264
서울성일초등학교,서울특별시 강동구 성내로15길 33
서울성내초등학교,서울특별시 강동구 성내로3길 19
서울선사초등학교,서울특별시 강동구 올림픽로 837
서울선린초등학교,서울특별시 강동구 진황도로61길 29
서울석촌초등학교,서울특별시 송파구 가락로11길 26
서울상일초등학교,서울특별시 강동구 천호대로 1477
서울삼전초등학교,서울특별시 송파구 백제고분로28길 19
서울버들초등학교,서울특별시 송파구 석촌호수로 81
서울방이초등학교,서울특별시 송파구 위례성대로10길 4
서울방산초등학교,서울특별시 송파구 오금로27길 42
서울문현초등학교,서울특별시 송파구 충민로 137
서울문정초등학교,서울특별시 송파구 문정로5길 20
서울문덕초등학교,서울특별시 송파구 송이로34길 60
서울묘곡초등학교,서울특별시 강동구 동남로79길 46
서울명일초등학교,서울특별시 강동구 고덕로38길 8
서울명원초등학교,서울특별시 강동구 명일로 364
서울명덕초등학교,서울특별시 강동구 양재대로156길 11
서울마천초등학교,서울특별시 송파구 마천로61다길 24
서울둔촌초등학교,서울특별시 강동구 양재대로88길 27
서울대명초등학교,서울특별시 강동구 상암로 271
서울남천초등학교,서울특별시 송파구 성내천로 207
서울길동초등학교,서울특별시 강동구 양재대로116길 69
서울고일초등학교,서울특별시 강동구 구천면로93길 20
서울고명초등학교,서울특별시 강동구 고덕로46길 53
서울고덕초등학교,서울특별시 강동구 아리수로82길 42
서울거원초등학교,서울특별시 송파구 양산로2길 26
서울거여초등학교,서울특별시 송파구 마천로25길 18
서울개롱초등학교,서울특별시 송파구 문정로 211
서울강일초등학교,서울특별시 강동구 아리수로98길 24
서울강명초등학교,서울특별시 강동구 상일로 74-1
서울강동초등학교,서울특별시 강동구 상암로14길 77
서울강덕초등학교,서울특별시 강동구 동남로82길 94-54
서울가주초등학교,서울특별시 송파구 오금로40길 37
서울가원초등학교,서울특별시 송파구 중대로4길 8
서울가락초등학교,서울특별시 송파구 송파대로37길 45
서울가동초등학교,서울특별시 송파구 중대로20길 47
우촌초등학교,서울특별시 성북구 성북로4길 52-1
영훈초등학교,서울특별시 강북구 도봉로13가길 19
성신초등학교,서울특별시 성북구 북악산로 918
매원초등학교,서울특별시 성북구 북악산로 870
대광초등학교,서울특별시 성북구 안암로 5
광운초등학교,서울특별시 성북구 한천로 694
서울화계초등학교,서울특별시 강북구 솔매로50가길 25
서울청덕초등학교,서울특별시 성북구 정릉로9라길 11
서울정수초등학교,서울특별시 성북구 정릉로24길 58
서울정릉초등학교,서울특별시 성북구 솔샘로25가길 8
서울정덕초등학교,서울특별시 성북구 아리랑로 63
서울장위초등학교,서울특별시 성북구 장월로8가길 41
서울장월초등학교,서울특별시 성북구 한천로101길 66
서울장곡초등학교,서울특별시 성북구 장월로23길 16
서울일신초등학교,서울특별시 성북구 월곡로 74
서울인수초등학교,서울특별시 강북구 인수봉로 269
서울유현초등학교,서울특별시 강북구 인수봉로37길 24
서울월곡초등학교,서울특별시 성북구 장월로3길 42
서울우이초등학교,서울특별시 강북구 삼양로99길 36
서울오현초등학교,서울특별시 강북구 월계로 221
서울안암초등학교,서울특별시 성북구 고려대로7가길 39
서울숭인초등학교,서울특별시 성북구 오패산로16길 37
서울숭례초등학교,서울특별시 성북구 종암로5길 14
서울숭덕초등학교,서울특별시 성북구 정릉로 279
서울숭곡초등학교,서울특별시 성북구 종암로40길 30
서울수유초등학교,서울특별시 강북구 삼양로74길 39
서울수송초등학교,서울특별시 강북구 한천로124길 14
서울송천초등학교,서울특별시 강북구 삼양로20길 29
서울송중초등학교,서울특별시 강북구 오현로 9
서울성북초등학교,서울특별시 성북구 성북로 102-10
서울석관초등학교,서울특별시 성북구 돌곶이로22길 21
서울석계초등학교,서울특별시 성북구 한천로58길 273
서울삼양초등학교,서울특별시 강북구 삼양로49길 17
서울삼선초등학교,서울특별시 성북구 보문로29길 106
