사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,lat(위도),lon(경도)
2022112700100360,2022년 11월 27일 19시,일요일,경기도 용인시 처인구 남사읍,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,58세,상해없음,승용,남,47세,경상,37.10217133095626,127.11773435293792
2022112800100089,2022년 11월 28일 08시,월요일,경기도 용인시 기흥구 보라동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,61세,상해없음,승용,남,38세,경상,37.2319124209975,127.10697951336822
2022113000100223,2022년 11월 30일 13시,수요일,경기도 용인시 기흥구 신갈동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,53세,상해없음,화물,남,56세,중상,37.2842552665872,127.10387593049914
2022120300100539,2022년 12월 3일 22시,토요일,경기도 용인시 기흥구 고매동,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승합,남,59세,경상,37.22690946689392,127.10422117321556
2022120400100301,2022년 12월 4일 18시,일요일,경기도 용인시 기흥구 신갈동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,28세,상해없음,승용,남,19세,경상,37.292051010338334,127.103485312757
2022120400100302,2022년 12월 4일 18시,일요일,경기도 용인시 기흥구 신갈동,경상사고,0,0,22,21,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,74세,상해없음,승합,남,51세,부상신고,37.29201627743322,127.10388037193064
2022120500100027,2022년 12월 5일 06시,월요일,경기도 용인시 기흥구 상갈동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,남,58세,경상,37.259493907026304,127.10387031005668
2022120600100104,2022년 12월 6일 08시,화요일,경기도 용인시 기흥구 상갈동,중상사고,0,9,38,0,차대차 - 추돌,안전운전불이행,젖음/습기,눈,단일로 - 기타,승합,남,69세,상해없음,승합,남,62세,경상,37.28269554258596,127.1037825782678
2022120600100166,2022년 12월 6일 09시,화요일,경기도 용인시 수지구 죽전동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,78세,상해없음,승용,남,24세,경상,37.33105436353094,127.10355133095366
2022120800100033,2022년 12월 8일 03시,목요일,경기도 용인시 기흥구 마북동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,여,32세,중상,화물,남,50세,경상,37.312522300639415,127.10369380852563
2022121300100005,2022년 12월 13일 00시,화요일,경기도 용인시 기흥구 공세동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,29세,상해없음,승용,여,24세,경상,37.23672996276797,127.10548889069295
2022121700100058,2022년 12월 17일 05시,토요일,경기도 용인시 기흥구 공세동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,46세,상해없음,화물,남,64세,경상,37.23931633739393,127.10529502237316
2022122200100259,2022년 12월 22일 14시,목요일,경기도 용인시 기흥구 상갈동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,기타 - 기타,승용,남,57세,상해없음,승합,남,31세,경상,37.26095218185546,127.10327623976842
2022122600100186,2022년 12월 26일 11시,월요일,경기도 용인시 처인구 남사읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,흐림,단일로 - 기타,승용,남,37세,상해없음,승용,남,50세,경상,37.10084014679483,127.11864134462188
2022122800100497,2022년 12월 28일 19시,수요일,경기도 용인시 기흥구 신갈동,경상사고,0,0,3,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,65세,상해없음,승용,남,42세,경상,37.2855976399863,127.10366583188862
2022123100100323,2022년 12월 31일 16시,토요일,경기도 용인시 기흥구 상갈동,중상사고,0,1,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,59세,상해없음,승용,남,32세,경상,37.2652860857585,127.10273470837924
