routeName,routeNo,icCode,icName,xValue,yValue,상세주소
경부선,10,0010J00030,남이JCT,127.422204,36.598011,"석곡동, 흥덕구, 청주시, 충청북도, 28382, 대한민국"
경부선,10,0010J00033,천안JCT,127.182262,36.769703,"충절로, 동남구, 천안시, 충청남도, 31224, 대한민국"
경부선,10,0010J00036,안성JCT,127.140366,37.038514,"경부고속도로, 월곡동, 안성시, 경기도, 17557, 대한민국"
경부선,10,0010J00040,신갈JCT,127.10478,37.291807,"경부고속도로, 기흥구, 용인시, 경기도, 16921, 대한민국"
경부선,10,0010J00042,판교JCT,127.094529,37.40587,"수도권제1순환고속도로, 삼평동, 분당구, 성남시, 경기도, 13473, 대한민국"
경부선,10,0010J90053,금토JCT,127.085428,37.41547,"용인서울고속도로, 수정구, 성남시, 경기도, 13449, 대한민국"
경부선,10,0010J90054,언양 분기점JCT,129.131398,35.567444,"경부고속도로, 울주군, 울산광역시, 44941, 대한민국"
경부선,10,0010J90056,영천JCT,129.006724,35.920645,"북안면 보건지소, 2051, 운북로, 북안면, 영천시, 경상북도, 38907, 대한민국"
경부선,10,0010J90059,동대구JCT,128.694347,35.887474,"부동, 해안동, 동구, 대구광역시, 41059, 대한민국"
경부선,10,4000J00001,동탄JCT,127.09599,37.17782,"수도권제2순환고속도로, 방교동, 동탄6동, 화성시, 경기도, 18487, 대한민국"
