field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,field16,field17,field18,field19,field20,field21,field22,_GC_TYPE,_CLEANADDR,_X,_Y
2022010100100101,2022년 1월 1일 12시,토요일,경기도 안성시 원곡면,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,20세,상해없음,승용,남,27세,경상,대,경기도 안성시 원곡면,127.146979,37.04738111
2022010200100256,2022년 1월 2일 18시,일요일,경상남도 양산시 하북면,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,남,21세,경상,대,경상남도 양산시 하북면,129.0936549,35.45664037
2022010200100083,2022년 1월 2일 12시,일요일,경상남도 양산시 상북면,경상사고,0,0,2,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,25세,상해없음,승용,남,33세,경상,대,경상남도 양산시 상북면,129.0448657,35.42717875
2022010200100107,2022년 1월 2일 13시,일요일,경기도 용인시 수지구 동천동,경상사고,0,0,8,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 기타,승용,남,40세,상해없음,승용,남,49세,경상,대,경기도 용인시 수지구 동천동,127.0804442,37.34089575
2.02201E+15,2022년 1월 2일 09시,일요일,경기도 용인시 기흥구 고매동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,54세,상해없음,승용,남,32세,경상,대,경기도 용인시 기흥구 고매동,127.1143265,37.22557979
2022010200100013,2022년 1월 2일 02시,일요일,충청북도 청주시 서원구 남이면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31세,상해없음,화물,남,56세,경상,대,충청북도 청주시 서원구 남이면,127.4223057,36.56619491
2022010200100404,2022년 1월 2일 23시,일요일,충청남도 천안시 동남구 구성동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,38세,상해없음,승용,남,41세,경상,대,충청남도 천안시 동남구 구성동,127.1705605,36.79706163
2022010200100333,2022년 1월 2일 20시,일요일,충청북도 청주시 흥덕구 옥산면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,남,34세,경상,대,충청북도 청주시 흥덕구 옥산면,127.3594268,36.68092518
2022010200100398,2022년 1월 2일 22시,일요일,충청북도 청주시 흥덕구 강내면,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,35세,상해없음,승용,남,63세,경상,대,충청북도 청주시 흥덕구 강내면,127.3572025,36.60410869
2022010600100004,2022년 1월 6일 00시,목요일,서울특별시 서초구 원지동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,기타 - 기타,승용,남,24세,상해없음,승용,남,23세,경상,대,서울특별시 서초구 원지동,127.0479721,37.44499174
2022010500100003,2022년 1월 5일 00시,수요일,경기도 성남시 수정구 금토동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,63세,상해없음,승용,남,52세,경상,대,경기도 성남시 수정구 금토동,127.0699918,37.41062545
2022010300100003,2022년 1월 3일 00시,월요일,경기도 성남시 분당구 삼평동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,19세,상해없음,승용,남,27세,상해없음,대,경기도 성남시 분당구 삼평동,127.108895,37.40201103
2022010700100342,2022년 1월 7일 16시,금요일,대구광역시 북구 조야동,경상사고,0,0,4,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,화물,남,52세,상해없음,승용,남,33세,경상,대,대구광역시 북구 조야동,128.5755999,35.91659804
2022010500100065,2022년 1월 5일 08시,수요일,경기도 용인시 기흥구 상갈동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,남,66세,경상,대,경기도 용인시 기흥구 상갈동,127.1130955,37.26541252
2.02201E+15,2022년 1월 7일 20시,금요일,경기도 용인시 처인구 남사읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,남,46세,경상,대,경기도 용인시 처인구 남사읍,127.1543602,37.13453934
2022010600100505,2022년 1월 6일 21시,목요일,경기도 성남시 분당구 백현동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,46세,상해없음,승용,남,40세,경상,대,경기도 성남시 분당구 백현동,127.1088691,37.38513292
2022010600100078,2022년 1월 6일 08시,목요일,경기도 용인시 기흥구 고매동,경상사고,0,0,1,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,승용,남,39세,상해없음,특수,남,53세,경상,대,경기도 용인시 기흥구 고매동,127.1143265,37.22557979
2.02201E+15,2022년 1월 6일 07시,목요일,서울특별시 서초구 원지동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승합,남,58세,상해없음,화물,남,55세,경상,대,서울특별시 서초구 원지동,127.0479721,37.44499174
2022010800100005,2022년 1월 8일 00시,토요일,경기도 안성시 공도읍,중상사고,0,1,2,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,43세,상해없음,승용,남,53세,상해없음,대,경기도 안성시 공도읍,127.1832118,37.00071006
2022010900100094,2022년 1월 9일 12시,일요일,경상남도 양산시 상북면,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,59세,상해없음,승용,여,57세,경상,대,경상남도 양산시 상북면,129.0448657,35.42717875
2022010900100257,2022년 1월 9일 19시,일요일,경상북도 경주시 건천읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,58세,상해없음,승용,여,34세,중상,대,경상북도 경주시 건천읍,129.0879358,35.83788534
2022011000100122,2022년 1월 10일 09시,월요일,서울특별시 서초구 원지동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,43세,경상,화물,남,56세,경상,대,서울특별시 서초구 원지동,127.0479721,37.44499174
2022011100100368,2022년 1월 11일 17시,화요일,경기도 성남시 분당구 궁내동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,32세,상해없음,승용,남,64세,경상,대,경기도 성남시 분당구 궁내동,127.091827,37.37017734
2.02201E+15,2022년 1월 11일 08시,화요일,경상북도 경산시 진량읍,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,55세,경상,화물,남,52세,상해없음,대,경상북도 경산시 진량읍,128.8260362,35.86998153
2022010500100386,2022년 1월 5일 20시,수요일,경기도 성남시 수정구 금토동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,69세,상해없음,승용,여,38세,경상,대,경기도 성남시 수정구 금토동,127.0699918,37.41062545
2022011000100452,2022년 1월 10일 19시,월요일,충청북도 옥천군 군북면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 지하차도(도로)내,승용,남,53세,상해없음,승용,남,32세,경상,대,충청북도 옥천군 군북면,127.566326,36.35306846
2022011100100539,2022년 1월 11일 21시,화요일,충청남도 천안시 동남구 구성동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,31세,경상,승용,남,32세,경상,대,충청남도 천안시 동남구 구성동,127.1705605,36.79706163
2022011100100147,2022년 1월 11일 10시,화요일,경기도 용인시 기흥구 공세동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,승용,남,28세,경상,대,경기도 용인시 기흥구 공세동,127.1122478,37.23813673
2022011200100142,2022년 1월 12일 10시,수요일,경기도 안성시 공도읍,중상사고,0,1,1,5,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,62세,상해없음,승용,여,32세,경상,대,경기도 안성시 공도읍,127.1832118,37.00071006
2022011200100025,2022년 1월 12일 06시,수요일,부산광역시 금정구 선동,경상사고,0,0,6,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,76세,상해없음,승용,남,50세,경상,대,부산광역시 금정구 선동,129.1140673,35.2723503
2022011400100448,2022년 1월 14일 18시,금요일,경기도 오산시 원동,경상사고,0,0,1,3,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,40세,부상신고,승용,남,24세,경상,대,경기도 오산시 원동,127.0840611,37.14008768
2022011300100047,2022년 1월 13일 07시,목요일,경기도 용인시 기흥구 상갈동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,50세,상해없음,승용,남,44세,경상,대,경기도 용인시 기흥구 상갈동,127.1130955,37.26541252
2022011600100044,2022년 1월 16일 08시,일요일,경상북도 구미시 임은동,중상사고,0,1,6,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,승합,남,22세,중상,대,경상북도 구미시 임은동,128.3647088,36.08705759
2022011500100106,2022년 1월 15일 10시,토요일,충청남도 천안시 동남구 목천읍,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승용,남,37세,경상,대,충청남도 천안시 동남구 목천읍,127.2176083,36.7887014
2022011400100571,2022년 1월 14일 20시,금요일,충청남도 천안시 동남구 신부동,경상사고,0,0,5,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,34세,상해없음,승용,여,37세,경상,대,충청남도 천안시 동남구 신부동,127.1643944,36.82567846
