영업상태코드,지역구
1,서울특별시 은평구 불광동 281-172
1,서울특별시 강동구 길동 459
3,서울특별시 중구 을지로3가 291-45
3,서울특별시 강서구 화곡동 936-3 2층
1,서울특별시 강서구 화곡동 935-1
1,서울특별시 은평구 응암동 96-14 (지층)
1,서울특별시 강서구 화곡동 901-15 시온빌딩 401호
1,서울특별시 강남구 역삼동 719 신웅타워
1,서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 7층) 703-1호
1,서울특별시 노원구 상계동 710 문화빌딩 지하1층
1,서울특별시 서초구 서초동 1303-36 트라이랜드빌딩 7층
1,서울특별시 성동구 용답동 233-6
1,서울특별시 강남구 논현동 237-5
1,서울특별시 관악구 신림동 1431-15
1,서울특별시 관악구 신림동 1655
1,서울특별시 중구 저동2가 7-5 서광빌딩
1,서울특별시 서초구 서초동 1303-36 트라이랜드빌딩 2층
1,서울특별시 광진구 군자동 355-11
1,서울특별시 용산구 이태원동 127-2
1,서울특별시 강남구 논현동 74 PATIO7
3,서울특별시 강남구 삼성동 143-16
1,서울특별시 중구 북창동 118 2층
1,서울특별시 강동구 천호동 429-4
1,서울특별시 종로구 종로6가 244-15
1,"서울특별시 서초구 잠원동 18-5 외4필지 지하2,3층"
3,서울특별시 강북구 수유동 229-5
1,서울특별시 영등포구 여의도동 43-1 유성빌딩
1,서울특별시 영등포구 영등포동3가 7-52
1,서울특별시 영등포구 여의도동 44-14
1,서울특별시 중구 초동 40-4 지상2층
1,"서울특별시 강남구 삼성동 142-29 지상2,3층"
1,서울특별시 종로구 관수동 154-1 1층
1,서울특별시 종로구 돈의동 19 (지하1층)
3,서울특별시 종로구 숭인동 1252-0번지 
1,서울특별시 영등포구 당산동2가 147-1 지하1층
1,서울특별시 관악구 신림동 1639-16
1,서울특별시 영등포구 여의도동 43-1 유성빌딩
1,서울특별시 강남구 삼성동 142-35
1,서울특별시 구로구 오류동 33-73 지하1층
3,서울특별시 송파구 석촌동 1-7 로사나관광호텔 지하1층
1,서울특별시 송파구 가락동 79-4
1,서울특별시 종로구 낙원동 173-1 지상2층
1,서울특별시 강서구 화곡동 936-3 4층
1,서울특별시 종로구 관철동 43-14 지하1층
1,서울특별시 중구 북창동 19-6 지상 2~3층
1,서울특별시 송파구 석촌동 1-7 로사나관광호텔
1,서울특별시 강서구 화곡동 1117-14 (지하 1층)
1,서울특별시 동대문구 전농동 295-307
1,서울특별시 동작구 사당동 148-12
3,서울특별시 강북구 수유동 174-17
3,서울특별시 송파구 석촌동 1-7 지하2층
1,서울특별시 강서구 화곡동 936-3 3층
1,서울특별시 서대문구 창천동 29-30 용성빌딩
3,서울특별시 중구 태평로1가 25-3 외1(지하1층)
3,서울특별시 중구 태평로1가 29-2
3,서울특별시 중구 광희동1가 193-0 지하1층
1,서울특별시 강동구 암사동 496-17
1,서울특별시 관악구 신림동 1425-13
1,서울특별시 은평구 대조동 15-84 지하1 층
1,서울특별시 종로구 신문로1가 31-0 지하1층
1,서울특별시 중구 북창동 67-0 (2층)
1,서울특별시 구로구 오류동 55-14 지하1층
1,서울특별시 관악구 신림동 1423-28
1,서울특별시 금천구 시흥동 889-13 지하1층 (시흥대로 475)
1,서울특별시 동작구 노량진동 29-6
1,서울특별시 은평구 불광동 281-176 지층
1,서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 5층) 503-1호
1,서울특별시 송파구 가락동 79-4 세화빌딩
1,서울특별시 중구 충무로3가 59-10 (지하1층)
1,서울특별시 강서구 화곡동 903-4 (지상 2층)
1,서울특별시 금천구 독산동 1035-5 지하1층 (독산역길 5)
3,서울특별시 마포구 노고산동 57-44 지하1층
3,서울특별시 강북구 수유동 191-29 (지하1층)
1,서울특별시 용산구 한남동 747-7 (지하2층)
1,서울특별시 서초구 서초동 1589-4 2층
1,서울특별시 관악구 신림동 1640-31 지하1층
1,서울특별시 중구 충무로4가 125-3 일흥빌딩
1,서울특별시 중구 주교동 124-1 지하1층
1,서울특별시 종로구 종로3가 6 4층
3,서울특별시 동대문구 장안동 365-1 2층
3,서울특별시 강남구 삼성동 49-9
1,서울특별시 영등포구 여의도동 14-11 대하빌딩 지하1층 B10~11호
1,서울특별시 마포구 노고산동 57-26 신촌센트럴코업레지던스
1,서울특별시 강북구 수유동 191-29 피카소모텔 지하1층
1,서울특별시 관악구 신림동 538-1
1,서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 6층) 601호
1,서울특별시 영등포구 영등포동3가 15-4
1,서울특별시 동대문구 장안동 366-6 지하1층
1,서울특별시 종로구 낙원동 243-1 지하 1층
1,서울특별시 강북구 수유동 191-30 몽모텔
1,서울특별시 강북구 수유동 229-35
1,서울특별시 마포구 서교동 354-2
1,서울특별시 관악구 신림동 527-11
1,서울특별시 서대문구 영천동 325
1,서울특별시 강동구 길동 450-1
1,서울특별시 서대문구 홍제동 305-3
1,서울특별시 강남구 삼성동 143-27
1,서울특별시 구로구 오류동 55-14
3,서울특별시 동대문구 답십리동 465-39 (천호대로 59)
1,서울특별시 송파구 가락동 98-7 거북이빌딩 지하1층 107호
1,서울특별시 강서구 화곡동 901-1 네스트인 Bo1호
1,서울특별시 중구 충무로4가 32-16 (지하1층)
1,서울특별시 서대문구 창천동 18-13
1,서울특별시 관악구 신림동 1639-5 SU모텔
3,서울특별시 도봉구 창동 14-4
1,서울특별시 종로구 창신동 444-9 임진빌딩
1,서울특별시 중구 황학동 809 지상 2층
1,서울특별시 서초구 서초동 1308-10
3,서울특별시 관악구 신림동 1655-9
1,서울특별시 관악구 봉천동 851-30
3,서울특별시 영등포구 영등포동3가 17-12
1,서울특별시 관악구 신림동 1640-2
3,서울특별시 종로구 당주동 2-3번지 
3,서울특별시 강남구 청담동 132-17번지 지하1층 
1,서울특별시 종로구 인의동 73 지하1층
3,서울특별시 서초구 서초동 1337-23번지 지상4층 
1,서울특별시 종로구 숭인동 200-33 지하1층
3,서울특별시 서초구 서초동 1337-23번지 지상3층 
3,서울특별시 동대문구 전농동 295-7 지하1층
1,서울특별시 은평구 갈현동 395-28
1,서울특별시 강북구 수유동 191-15
1,서울특별시 강동구 길동 387-7
1,서울특별시 송파구 가락동 99-2 지상2층
1,서울특별시 성동구 송정동 66-196
1,서울특별시 종로구 장사동 227-1
1,서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 5층) 502-1호
1,서울특별시 송파구 가락동 79-4 세화빌딩
1,서울특별시 은평구 응암동 599-3
1,서울특별시 종로구 종로5가 231-1번지 (지상2층) 
3,서울특별시 송파구 방이동 34-4
1,서울특별시 종로구 종로5가 231-25
3,서울특별시 종로구 청진동 92번지 지상10층 
3,서울특별시 종로구 낙원동 148-0번지 
3,서울특별시 종로구 도렴동 113-1번지 지하1층 
1,서울특별시 송파구 방이동 34-8 지상2층
1,서울특별시 영등포구 신길동 95-62 지하1층
3,서울특별시 강북구 수유동 93-1 (지하)
1,서울특별시 송파구 가락동 99-1 지하1층
1,서울특별시 강남구 신사동 664-7
1,서울특별시 강북구 수유동 191-58
1,서울특별시 강남구 논현동 84-0 송암빌딩
1,서울특별시 중구 광희동1가 98-0 (지하1층)
1,서울특별시 중구 오장동 139-8
1,서울특별시 강동구 길동 413-51
1,서울특별시 강남구 논현동 241-16
3,서울특별시 강남구 역삼동 648-3
1,서울특별시 강남구 논현동 118-17 세한빌딩 지하1층
3,서울특별시 동대문구 답십리동 176번지 
1,서울특별시 중구 충무로3가 24-5 지상2층
1,서울특별시 종로구 종로5가 231-9 지상2층
1,서울특별시 종로구 창신동 442-3 7층
1,서울특별시 영등포구 여의도동 44-24
1,서울특별시 동대문구 장안동 372-1 지하1층
