지역구,2021년,2022년
종로구,45,56
중구,43,45
용산구,72,94
성동구,87,71
광진구,72,66
동대문구,42,58
중랑구,65,60
성북구,55,59
강북구,54,42
도봉구,37,40
노원구,76,93
은평구,53,69
서대문구,44,56
마포구,100,119
양천구,76,68
강서구,119,137
구로구,102,83
금천구,66,72
영등포구,115,146
동작구,54,72
관악구,73,72
서초구,123,165
강남구,281,368
송파구,139,155
강동구,66,82
