영업상태코드,주소
1,서울특별시 도봉구 창동 557-100
1,서울특별시 종로구 낙원동 58-1
1,서울특별시 종로구 창신동 463-1 지하1층
1,서울특별시 중랑구 면목동 91-65
1,서울특별시 중구 회현동2가 15-1번지 
1,서울특별시 종로구 낙원동 99-1번지 
1,서울특별시 종로구 체부동 52번지 
1,서울특별시 종로구 관수동 4-4번지 
1,서울특별시 종로구 낙원동 146-0번지 
1,서울특별시 종로구 창신동 696-1 
1,서울특별시 종로구 창신동 510 2층
1,서울특별시 종로구 창신동 439-1번지 2층 
1,서울특별시 종로구 돈의동 126번지 2층 
1,서울특별시 중구 신당동 120-9 (2층)
1,서울특별시 중구 충무로4가 132-3 지하1층 
1,서울특별시 중구 광희동1가 174번지 (지하1층) 
1,서울특별시 중구 신당동 110-13번지 
1,서울특별시 중구 장충동2가 188-8 지하1층
1,서울특별시 중구 북창동 20-3번지 지상2층 
1,서울특별시 중구 신당동 140-4 지하1층 
1,서울특별시 중구 중림동 398-6번지 
1,서울특별시 동대문구 장안동 119-18 (한천로 174)
1,서울특별시 중구 신당동 309-18번지 
1,서울특별시 중구 황학동 657-6번지 (지하1층) 
1,서울특별시 용산구 한남동 87-7번지 지하1층 
1,서울특별시 용산구 한강로1가 231-25번지 지하1층 
1,서울특별시 용산구 한강로3가 40-140번지 
1,서울특별시 용산구 신계동 25-8번지 (지하1층) 
1,서울특별시 용산구 원효로2가 65-7번지 
1,서울특별시 용산구 한남동 6391 
1,서울특별시 성동구 도선동 253-4번지 
1,서울특별시 성동구 마장동 771-8번지 
1,서울특별시 광진구 구의동 200-2
1,서울특별시 광진구 화양동 49-14번지 
1,서울특별시 강북구 수유동 189-3
1,서울특별시 광진구 자양동 624-42번지 
1,서울특별시 광진구 자양동 249-5번지 
1,서울특별시 광진구 구의동 234-27 
1,서울특별시 광진구 구의동 219-28
1,서울특별시 광진구 구의동 54-20번지 
1,서울특별시 동대문구 청량리동 235-4 미주상가 지하9호 (망우로 19)
1,서울특별시 종로구 관훈동 197-24번지 
1,서울특별시 중랑구 면목동 607-6번지 
1,서울특별시 중랑구 망우동 340-19 
1,서울특별시 중랑구 묵동 245-8
1,서울특별시 양천구 신정동 1190-5 지하 1층
1,서울특별시 중랑구 상봉동 130-87
1,서울특별시 성북구 하월곡동 104-17번지
1,서울특별시 양천구 신월동 961-6 지하 1층
1,서울특별시 강북구 번동 417-2번지 (한천로 1019) 
1,서울특별시 강북구 미아동 42-212번지 지하1층 
1,서울특별시 양천구 목동 405-136 지하 1층
1,서울특별시 양천구 신월동 514-2 지하 1층
1,서울특별시 강북구 수유동 2-2 지하1층 
1,서울특별시 강북구 번동 418-9
1,서울특별시 강북구 미아동 860-241번지 4층 
