영업상태코드,주소
1,서울특별시 마포구 노고산동 57-26 신촌센트럴코업레지던스
1,서울특별시 강북구 수유동 191-29 피카소모텔 지하1층
1,서울특별시 관악구 신림동 538-1
1,서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 6층) 601호
1,서울특별시 영등포구 영등포동3가 15-4
1,서울특별시 동대문구 장안동 366-6 지하1층
1,서울특별시 종로구 낙원동 243-1 지하 1층
1,서울특별시 강북구 수유동 191-30 몽모텔
1,서울특별시 강북구 수유동 229-35
1,서울특별시 마포구 서교동 354-2
1,서울특별시 관악구 신림동 527-11
1,서울특별시 서대문구 영천동 325
1,서울특별시 강동구 길동 450-1
1,서울특별시 서대문구 홍제동 305-3
1,서울특별시 강남구 삼성동 143-27
1,서울특별시 구로구 오류동 55-14
1,서울특별시 송파구 가락동 98-7 거북이빌딩 지하1층 107호
1,서울특별시 강서구 화곡동 901-1 네스트인 Bo1호
1,서울특별시 중구 충무로4가 32-16 (지하1층)
1,서울특별시 서대문구 창천동 18-13
1,서울특별시 관악구 신림동 1639-5 SU모텔
1,서울특별시 종로구 창신동 444-9 임진빌딩
1,서울특별시 중구 황학동 809 지상 2층
1,서울특별시 서초구 서초동 1308-10
1,서울특별시 관악구 봉천동 851-30
1,서울특별시 관악구 신림동 1640-2
1,서울특별시 종로구 인의동 73 지하1층
1,서울특별시 종로구 숭인동 200-33 지하1층
1,서울특별시 은평구 갈현동 395-28
1,서울특별시 강북구 수유동 191-15
1,서울특별시 강동구 길동 387-7
1,서울특별시 송파구 가락동 99-2 지상2층
1,서울특별시 성동구 송정동 66-196
1,서울특별시 종로구 장사동 227-1
1,서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 5층) 502-1호
1,서울특별시 송파구 가락동 79-4 세화빌딩
1,서울특별시 은평구 응암동 599-3
1,서울특별시 종로구 종로5가 231-1번지 (지상2층) 
1,서울특별시 종로구 종로5가 231-25
1,서울특별시 송파구 방이동 34-8 지상2층
1,서울특별시 영등포구 신길동 95-62 지하1층
1,서울특별시 송파구 가락동 99-1 지하1층
1,서울특별시 강남구 신사동 664-7
1,서울특별시 강북구 수유동 191-58
1,서울특별시 강남구 논현동 84-0 송암빌딩
1,서울특별시 중구 광희동1가 98-0 (지하1층)
1,서울특별시 중구 오장동 139-8
1,서울특별시 강동구 길동 413-51
1,서울특별시 강남구 논현동 241-16
1,서울특별시 강남구 논현동 118-17 세한빌딩 지하1층
1,서울특별시 중구 충무로3가 24-5 지상2층
1,서울특별시 종로구 종로5가 231-9 지상2층
1,서울특별시 종로구 창신동 442-3 7층
1,서울특별시 영등포구 여의도동 44-24
1,서울특별시 동대문구 장안동 372-1 지하1층
1,서울특별시 금천구 가산동 141-8 지상2층 (구로동길 265)
1,서울특별시 강동구 길동 459-2
1,서울특별시 관악구 신림동 1639-1 신림빌딩
1,서울특별시 중구 초동 70-4 (지상3층)
1,서울특별시 용산구 남영동 61-6 (지상2층)
1,서울특별시 양천구 목동 602-1 지하 1층
1,서울특별시 강서구 화곡동 1006-3 (지하 1층)
1,서울특별시 관악구 신림동 529-7
1,서울특별시 중구 충무로2가 50-3 1~2층
1,서울특별시 강남구 신사동 502-11 영일빌딩
1,서울특별시 강북구 수유동 229-2 덕인빌딩 
1,서울특별시 강서구 화곡동 1105-5 (지하 1층)
1,서울특별시 송파구 방이동 34-9 B1호
1,서울특별시 강서구 화곡동 901-15 시온빌딩 지하1층
1,서울특별시 강서구 화곡동 901-15 시온빌딩 501호
1,서울특별시 관악구 신림동 1431-18
1,서울특별시 용산구 한남동 737-25 지하1층
1,서울특별시 강남구 논현동 248-7 지하1층
1,서울특별시 관악구 신림동 1640-29 제일빌딩
1,서울특별시 관악구 신림동 1640-29 제일빌딩
1,서울특별시 종로구 종로5가 94번지 지상1층 
1,서울특별시 서초구 서초동 1588-1 지하1층
1,서울특별시 종로구 종로5가 231-25 지상2층
1,서울특별시 노원구 상계동 730-5번지 지하2호
1,서울특별시 강동구 길동 459-4
1,서울특별시 관악구 신림동 1639-19 지하1층
