영업상태코드,지역구
1,서울특별시 송파구 가락동 98-6 캘리포니아관광호텔
1,서울특별시 중랑구 묵동 169-21
1,서울특별시 광진구 구의동 243-19
1,서울특별시 중구 신당동 120-16
1,서울특별시 동작구 상도1동 755-0
1,서울특별시 강북구 수유동 182-1
1,서울특별시 중구 북창동 20-2
1,서울특별시 은평구 대조동 15-120 지하1층
1,서울특별시 강북구 미아동 35-23 지상2층
1,서울특별시 영등포구 여의도동 44-21 중앙빌딩
1,서울특별시 영등포구 대림동 861-21 지하1층
3,"서울특별시 종로구 내수동 75 용비어천가빌딩 B116, B117호"
1,서울특별시 종로구 낙원동 136 보광빌딩
1,서울특별시 광진구 광장동 322-7
1,서울특별시 광진구 광장동 322-3
1,서울특별시 영등포구 영등포동3가 8-1 성남빌딩
1,서울특별시 마포구 동교동 154-20
1,서울특별시 강남구 신사동 612-1
1,서울특별시 성북구 석관동 304-26
3,서울특별시 중구 다동 134-1
3,서울특별시 영등포구 여의도동 36-4 오륜빌딩 지하동
1,서울특별시 구로구 구로동 500-17
1,서울특별시 송파구 방이동 69-4 유인빌딩
3,서울특별시 양천구 신정동 117-35 신정동빌딩
3,서울특별시 동작구 대방동 400-5
1,서울특별시 송파구 송파동 18-4 지하1층
3,서울특별시 관악구 봉천동 871-74 지하1층
3,서울특별시 구로구 개봉동 170-33
3,서울특별시 서초구 잠원동 40-8
1,서울특별시 강서구 화곡동 894-18 성지빌딩 지하1층
3,서울특별시 은평구 대조동 12-32
1,서울특별시 구로구 구로동 1123-3 지하 1층
1,서울특별시 서초구 서초동 1571-3
3,서울특별시 마포구 연남동 571-16 지1층
3,서울특별시 마포구 연남동 226-34
1,서울특별시 도봉구 방학동 689-16 지하1층
1,서울특별시 송파구 풍납동 400-8 (지하1층)
1,서울특별시 강서구 화곡동 936-9 (지상 2층)
1,서울특별시 강서구 화곡동 913-4 (지상 2층)
1,서울특별시 중랑구 상봉동 107-27
1,서울특별시 송파구 가락동 190-1 지하1층
1,서울특별시 송파구 삼전동 111-7 지하1층
3,서울특별시 영등포구 영등포동 602-88
3,서울특별시 중구 중림동 398-7 지하1층
3,서울특별시 중구 황학동 1612-0
3,서울특별시 영등포구 영등포동3가 17 지층
1,서울특별시 광진구 자양동 634-12
1,서울특별시 관악구 봉천동 931-11
1,서울특별시 동대문구 용두동 118-82 (무학로 91)
3,서울특별시 중구 중림동 398-6
3,서울특별시 강동구 성내동 120-0
3,서울특별시 영등포구 당산동3가 295-1
1,서울특별시 용산구 한남동 657-174 (지층)
1,서울특별시 강동구 성내동 32-1
1,서울특별시 강남구 논현동 232-5
1,서울특별시 중랑구 망우동 516-54
1,서울특별시 강서구 화곡동 343-56 (지하 2층) 201호
1,서울특별시 노원구 상계동 169-6
1,서울특별시 금천구 독산동 950-3 지하1층
1,서울특별시 용산구 한남동 76-22
1,서울특별시 동대문구 전농동 597-26
1,서울특별시 성북구 삼선동4가 343
1,서울특별시 양천구 신월동 931-13 지하 1층
3,서울특별시 동대문구 휘경동 34-57 지하1층
3,서울특별시 강북구 수유동 229-2 덕인빌딩 3층 301호
1,서울특별시 강동구 길동 383-1
1,서울특별시 양천구 신정동 1183-11 지하 1층
1,서울특별시 양천구 목동 792-5 지하 1층
3,서울특별시 영등포구 영등포동3가 2-6 2층
1,서울특별시 용산구 이태원동 36-23 (지층)
3,서울특별시 영등포구 영등포동3가 5-10 외57필지
1,서울특별시 송파구 석촌동 23-4
1,서울특별시 중구 을지로5가 275-6 지하1층
1,서울특별시 구로구 개봉동 403-54
3,서울특별시 강동구 길동 446-2
1,서울특별시 강남구 신사동 590-20
1,서울특별시 용산구 이태원동 132-4 (지하1층)
1,서울특별시 강동구 길동 348-3
1,서울특별시 양천구 신정동 972-3 동성빌딩 지하 1층
1,서울특별시 서초구 서초동 1577-6
1,서울특별시 영등포구 여의도동 44-12 고려빌딩204호
1,서울특별시 영등포구 당산동1가 74-1 선행빌딩 지하1층
1,서울특별시 용산구 이태원동 123-18
1,서울특별시 중랑구 상봉동 85-39
1,서울특별시 중랑구 상봉동 89-1
1,서울특별시 강서구 가양동 129-11 (지하 1층)
3,서울특별시 강남구 논현동 114-14
3,서울특별시 강동구 성내동 441-1
1,서울특별시 광진구 구의동 246-31
1,서울특별시 강북구 미아동 160-39 2층
1,서울특별시 성동구 성수동2가 300-87
1,서울특별시 강동구 길동 252-113
1,서울특별시 송파구 송파동 15-4 지하1층
3,서울특별시 서대문구 남가좌동 102-28 (지하1층)
1,서울특별시 강동구 성내동 434-50
1,서울특별시 강서구 화곡동 782-13 (지하 1층)
1,서울특별시 강서구 화곡동 1063-0 (지하 1층)
1,서울특별시 도봉구 창동 557-100
1,서울특별시 종로구 낙원동 58-1
3,서울특별시 영등포구 영등포동7가 104-4
3,서울특별시 영등포구 영등포동5가 18-0
1,서울특별시 종로구 창신동 463-1 지하1층
1,서울특별시 중랑구 면목동 91-65
3,서울특별시 영등포구 당산동4가 32-95
3,서울특별시 영등포구 여의도동 45-3
3,서울특별시 종로구 청진동 289-1번지 
1,서울특별시 중구 회현동2가 15-1번지 
3,서울특별시 중구 충무로3가 25-7번지 
3,서울특별시 중구 수하동 16-0번지 
3,서울특별시 마포구 노고산동 107-26번지 2층 
1,서울특별시 종로구 낙원동 99-1번지 
1,서울특별시 종로구 체부동 52번지 
1,서울특별시 종로구 관수동 4-4번지 
1,서울특별시 종로구 낙원동 146-0번지 
1,서울특별시 종로구 창신동 696-1 
1,서울특별시 종로구 창신동 510 2층
1,서울특별시 종로구 창신동 439-1번지 2층 
3,서울특별시 종로구 도렴동 113-1번지 
3,서울특별시 종로구 도렴동 113-1번지 
3,서울특별시 종로구 경운동 96-21번지 
1,서울특별시 종로구 돈의동 126번지 2층 
3,서울특별시 종로구 서린동 145-0번지 지하동 
3,서울특별시 종로구 와룡동 122-0번지 
3,서울특별시 종로구 창신동 207-1번지 
3,서울특별시 종로구 청진동 125-1번지 
3,서울특별시 종로구 교북동 90-1번지 지하동 
1,서울특별시 중구 신당동 120-9 (2층)
1,서울특별시 중구 충무로4가 132-3 지하1층 
1,서울특별시 중구 광희동1가 174번지 (지하1층) 
1,서울특별시 중구 신당동 110-13번지 
1,서울특별시 중구 장충동2가 188-8 지하1층
1,서울특별시 중구 북창동 20-3번지 지상2층 
1,서울특별시 중구 신당동 140-4 지하1층 
1,서울특별시 중구 중림동 398-6번지 
1,서울특별시 동대문구 장안동 119-18 (한천로 174)
3,"서울특별시 중구 다동 70번지 한외빌딩 지하1층 9호,10호 "
1,서울특별시 중구 신당동 309-18번지 
1,서울특별시 중구 황학동 657-6번지 (지하1층) 
3,서울특별시 중구 북창동 103-1번지 
3,서울특별시 중구 만리동1가 51-1번지 
3,서울특별시 중구 충무로5가 59-1번지 
3,서울특별시 중구 다동 162-1번지 
3,서울특별시 종로구 청진동 11-6번지 
1,서울특별시 용산구 한남동 87-7번지 지하1층 
1,서울특별시 용산구 한강로1가 231-25번지 지하1층 
1,서울특별시 용산구 한강로3가 40-140번지 
3,서울특별시 용산구 이태원동 123-21 지하1층
1,서울특별시 용산구 신계동 25-8번지 (지하1층) 
1,서울특별시 용산구 원효로2가 65-7번지 
1,서울특별시 용산구 한남동 6391 
3,서울특별시 종로구 무악동 45-375번지 
3,서울특별시 성동구 성수동2가 346-2번지 
3,서울특별시 성동구 옥수동 523-1번지 
1,서울특별시 성동구 도선동 253-4번지 
1,서울특별시 성동구 마장동 771-8번지 
3,서울특별시 종로구 관철동 33-3번지 
3,서울특별시 중구 태평로1가 31-21번지 
3,서울특별시 마포구 노고산동 56-11번지 지층 
1,서울특별시 광진구 구의동 200-2
1,서울특별시 광진구 화양동 49-14번지 
1,서울특별시 강북구 수유동 189-3
1,서울특별시 광진구 자양동 624-42번지 
1,서울특별시 광진구 자양동 249-5번지 
1,서울특별시 광진구 구의동 234-27 
1,서울특별시 광진구 구의동 219-28
1,서울특별시 광진구 구의동 54-20번지 
1,서울특별시 동대문구 청량리동 235-4 미주상가 지하9호 (망우로 19)
1,서울특별시 종로구 관훈동 197-24번지 
1,
3,서울특별시 동대문구 장안동 286-7번지 
3,서울특별시 종로구 돈의동 51번지 
1,서울특별시 중랑구 면목동 607-6번지 
1,서울특별시 중랑구 망우동 340-19 
3,서울특별시 중구 북창동 134-3번지 
1,서울특별시 중랑구 묵동 245-8
1,서울특별시 양천구 신정동 1190-5 지하 1층
3,서울특별시 중랑구 면목동 190-102번지 
1,서울특별시 중랑구 상봉동 130-87
3,서울특별시 마포구 서교동 326-16번지 지층 
1,"서울특별시 성북구 하월곡동 104-17번지 ,18 "
3,서울특별시 성북구 장위동 64-1번지 
1,서울특별시 양천구 신월동 961-6 지하 1층
1,서울특별시 강북구 번동 417-2번지 (한천로 1019) 
1,서울특별시 강북구 미아동 42-212번지 지하1층 
1,서울특별시 양천구 목동 405-136 지하 1층
1,서울특별시 양천구 신월동 514-2 지하 1층
1,서울특별시 강북구 수유동 2-2 지하1층 
1,서울특별시 강북구 번동 418-9
1,서울특별시 강북구 미아동 860-241번지 4층 
1,서울특별시 양천구 목동 791-7 지하 1층
1,서울특별시 강북구 번동 443-98 청도빌딩
1,서울특별시 강북구 미아동 775-3번지 
3,서울특별시 강북구 번동 417-31번지 
3,서울특별시 강북구 수유동 229-5번지 (도봉로 333)(지하1층) 
3,서울특별시 도봉구 방학동 691-10번지 지하1층 
1,서울특별시 도봉구 방학동 692-23 지하1층
1,서울특별시 노원구 상계동 101-5번지 
1,서울특별시 종로구 낙원동 92번지 (지하1층) 
3,서울특별시 노원구 상계동 343-1번지 
3,서울특별시 노원구 상계동 617-5번지 
3,서울특별시 강서구 공항동 53-41 (지하 1 층)
1,서울특별시 은평구 녹번동 155-30번지 
1,서울특별시 은평구 대조동 186-39번지 
3,서울특별시 종로구 내자동 29-2 지하1층
1,서울특별시 은평구 녹번동 79-26 지층
1,서울특별시 은평구 녹번동 131-77 (지층)
1,서울특별시 종로구 낙원동 99-1
1,서울특별시 은평구 응암동 109-1번지 지층 
3,서울특별시 마포구 망원동 395-4번지 
3,서울특별시 서대문구 남가좌동 102-29번지 (지하1층) 
1,서울특별시 관악구 신림동 1640-28
1,서울특별시 강북구 수유동 182-34 지하1층
1,서울특별시 양천구 신월동 145-2 지하 1층
1,서울특별시 종로구 익선동 93번지 
1,서울특별시 광진구 중곡동 193-52
1,서울특별시 마포구 서교동 403-16번지 
3,서울특별시 마포구 아현동 100-4번지 지층 
3,서울특별시 마포구 하중동 382-39번지 
3,서울특별시 마포구 동교동 166-16번지 지하1층 
3,서울특별시 마포구 합정동 416-34번지 
1,서울특별시 양천구 신정동 1031-3 지하 1층
1,서울특별시 양천구 신정동 972-1 3층
1,서울특별시 양천구 목동 905-22 목동트윈빌 지하 1층 110호
1,서울특별시 은평구 응암동 592-72 B1층
1,서울특별시 관악구 신림동 681-8
1,서울특별시 양천구 신정동 1182-2 지하 1층 103~105호
1,서울특별시 종로구 숭인동 1416번지 지하1층 
1,서울특별시 종로구 관철동 19-7번지 지하1층 
1,서울특별시 종로구 낙원동 243-1번지 지상2층 
1,서울특별시 종로구 종로1가 24번지 
1,서울특별시 종로구 낙원동 141번지 지하1층 
1,서울특별시 종로구 종로4가 9-1번지 지하1층 
3,서울특별시 종로구 인사동 87-0번지 지하동 1층호
1,서울특별시 양천구 신월동 81-3 신협빌딩 지하 1층
1,서울특별시 구로구 오류동 81-9
1,서울특별시 양천구 신정동 973-32 지하 1층
1,서울특별시 양천구 목동 613-9 지하 1층
1,서울특별시 관악구 신림동 1669-13
1,서울특별시 양천구 신월동 444-11 지하 1층
1,서울특별시 양천구 신정동 887-8 지하 1층
1,서울특별시 도봉구 도봉동 560-19
3,서울특별시 동작구 노량진동 70-15번지 
3,서울특별시 강북구 수유동 48-9번지 
1,서울특별시 마포구 합정동 387-23 
1,서울특별시 강남구 논현동 165-10
1,서울특별시 강북구 번동 463-43
1,서울특별시 양천구 신정동 89-77 지하 1층
1,서울특별시 양천구 신정동 972-1 2층
3,"서울특별시 영등포구 영등포동3가 15-2 ,7"
1,서울특별시 은평구 대조동 220-33 지하1층
1,서울특별시 양천구 신정동 1031-8 지하 1층
1,서울특별시 양천구 신정동 1183-7 지하 1층
1,서울특별시 양천구 신정동 1190-2 지하 1층
3,서울특별시 송파구 방이동 산 207-5
1,서울특별시 영등포구 영등포동5가 46-2
1,서울특별시 강북구 수유동 178-18
1,서울특별시 서대문구 북가좌동 293-7
1,서울특별시 은평구 응암동 599-19 2층
1,서울특별시 관악구 신림동 1655-43
3,서울특별시 양천구 신월동 145-1번지 
3,서울특별시 양천구 신월동 502-1번지 
1,서울특별시 종로구 창신동 174-1 
1,서울특별시 종로구 관철동 43-5번지 
3,서울특별시 양천구 신정동 1026-2번지 
3,서울특별시 마포구 서교동 373-2번지 지층 
1,서울특별시 동작구 노량진동 16-1 노량진 드림스퀘어 복합빌딩
3,서울특별시 마포구 합정동 382-31번지 
1,서울특별시 서초구 서초동 1330-20
1,서울특별시 은평구 대조동 219-28 (지층)
3,서울특별시 강서구 화곡동 935-14 (지상 2층)
1,서울특별시 광진구 구의동 246-24
1,서울특별시 강서구 화곡동 905-10 지하1층
3,서울특별시 종로구 종로5가 246-5번지 
1,서울특별시 구로구 가리봉동 123-38
1,서울특별시 광진구 중곡동 80-11
1,서울특별시 중랑구 망우동 563-15 2층
1,서울특별시 강동구 천호동 237-3
3,서울특별시 중구 무학동 54 지하1층
3,서울특별시 강북구 수유동 229-1 (도봉로87길15)(지상3층)
1,서울특별시 강북구 수유동 191-38 지하1층
1,서울특별시 용산구 원효로2가 91-20 (지하1층)
1,서울특별시 강북구 미아동 160-1
1,서울특별시 강북구 수유동 189-6 (4.19길 33)
1,서울특별시 강북구 수유동 229-33
3,서울특별시 강서구 방화동 621-44번지 
3,서울특별시 강서구 화곡동 1110-6번지 
1,서울특별시 강남구 역삼동 826-36 신소애빌딩 지하1층
