사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,lat(위도),lon(경도)
2017101200100394.0,2017년 10월 12일 17시,목요일,서울특별시 강서구 화곡동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,보행자,남,6세,경상,37.55471897113518,126.8378623393651
2017101300100413.0,2017년 10월 13일 16시,금요일,서울특별시 금천구 독산동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,65세,상해없음,보행자,남,7세,경상,37.533728662224966,126.8463103885108
2017101300100456.0,2017년 10월 13일 17시,금요일,서울특별시 강동구 암사동,중상사고,0.0,1.0,0.0,0.0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,35세,상해없음,보행자,남,4세,중상,37.46293285095038,126.89999438974766
2017101300100571.0,2017년 10월 13일 19시,금요일,서울특별시 강동구 성내동,부상신고사고,0.0,0.0,0.0,1.0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,30세,상해없음,보행자,남,5세,부상신고,37.55042787350283,127.12503436539292
2017101400100416.0,2017년 10월 14일 16시,토요일,서울특별시 은평구 갈현동,중상사고,0.0,1.0,0.0,0.0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,보행자,남,5세,중상,37.53175302094086,127.1254221510201
2017101600100317.0,2017년 10월 16일 15시,월요일,서울특별시 성동구 성수동2가,경상사고,0.0,0.0,1.0,0.0,차대사람 - 횡단중,기타,건조,맑음,기타 - 기타,승용,여,46세,상해없음,보행자,남,7세,경상,37.61558646820906,126.9091942420831
2017101600100322.0,2017년 10월 16일 15시,월요일,서울특별시 강남구 대치동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 보도통행중,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,남,10세,경상,37.5466474643827,127.05634944058242
2017101700100336.0,2017년 10월 17일 14시,화요일,서울특별시 양천구 신정동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 기타,신호위반,건조,맑음,단일로 - 기타,승용,남,25세,기타불명,보행자,여,12세,경상,37.49922298157527,127.06249045545088
2017101700100408.0,2017년 10월 17일 16시,화요일,서울특별시 서초구 방배동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,54세,상해없음,보행자,남,6세,경상,37.51870801991748,126.86036027962558
2017101700100434.0,2017년 10월 17일 17시,화요일,서울특별시 서대문구 홍제동,중상사고,0.0,1.0,0.0,0.0,차대사람 - 기타,기타,건조,맑음,기타 - 기타,승용,남,23세,상해없음,보행자,남,8세,중상,37.49031219562427,126.9872050187118
