지역구,어린이사고수,인구수,어린이인구수,차량등록대수,어린이공원개수,어린이집수,유치원수,유아원수,초등학교수,어린이보호구역CCTV수,어린이보호구역개수,예측어린이사고수
종로구 ,28,151290,11317,50052,24,116,17,133,13,45,48,23.59925599864722
중구 ,19,126171,9383,51736,16,94,14,108,12,76,43,19.022705506428604
용산구 ,36,228670,18563,76521,23,179,17,196,15,235,37,36.007586350767944
성동구 ,38,300889,27887,106263,32,275,31,306,21,490,52,38.03021380225667
광진구 ,72,351350,29043,99299,35,294,36,330,21,625,74,71.97830397598766
동대문구 ,60,346194,29035,97910,42,308,33,341,21,282,75,60.0184703976301
중랑구 ,95,397015,32314,112723,44,372,33,405,23,141,42,94.96619960660449
성북구 ,82,442650,41671,119321,36,462,52,514,29,444,102,82.02886444546716
강북구 ,59,313954,23640,76364,44,243,22,265,14,351,41,45.10310394424011
도봉구 ,54,333362,27949,96435,39,396,29,425,23,151,64,54.00365063222272
노원구 ,92,532905,50300,152071,92,675,69,744,42,260,121,92.0029504626097
은평구 ,85,480032,42691,129820,45,520,45,565,30,750,74,109.78473507272122
서대문구 ,44,309397,26860,87104,43,274,23,297,19,132,40,43.99513796794772
마포구 ,57,374035,35143,117907,54,373,26,399,22,195,52,56.986755922362704
양천구 ,114,458165,47791,149673,74,478,47,525,30,831,96,113.98982475503364
강서구 ,99,591796,57283,204675,122,604,59,663,35,288,88,98.97703626117926
구로구 ,94,406664,39630,144465,26,489,35,524,27,546,61,89.305825352994
금천구 ,43,232810,17852,87581,41,266,19,285,18,268,46,42.97518329332298
영등포구 ,88,367678,32366,142010,29,423,40,463,23,286,66,88.00176926348576
동작구 ,66,395963,34712,105472,32,338,37,375,21,400,66,65.96893806020876
관악구 ,58,500094,33102,120050,71,398,36,434,22,258,72,58.04264375446173
서초구 ,80,430826,49699,181182,87,330,29,359,24,204,92,80.02204303337714
강남구 ,115,545169,55528,235415,62,359,40,399,33,1157,116,114.99561834931258
송파구 ,140,675961,71106,240559,87,670,54,724,40,449,88,95.64685385699357
강동구 ,87,436067,43078,139549,62,430,34,464,27,237,85,86.98610415933261
