사고부문,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
노인운전자사고,2020040600100179,2020년 4월 6일 11시,월요일,부산광역시 강서구 봉림동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,여,70세,경상,화물,남,27세,상해없음
노인운전자사고,2020040600100429,2020년 4월 6일 18시,월요일,부산광역시 동래구 안락동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,77세,상해없음,보행자,여,60세,중상
노인운전자사고,2.02004E+15,2020년 4월 6일 18시,월요일,부산광역시 동래구 온천동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,77세,상해없음,승용,남,40세,경상
노인운전자사고,2020040700100018,2020년 4월 7일 02시,화요일,부산광역시 동래구 낙민동,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,66세,상해없음,승합,남,50세,중상
노인운전자사고,2020040700100164,2020년 4월 7일 11시,화요일,부산광역시 해운대구 반여동,중상사고,0,1,0,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,77세,상해없음,이륜,남,56세,중상
노인운전자사고,2020040700100166,2020년 4월 7일 11시,화요일,부산광역시 부산진구 부암동,경상사고,0,0,1,0,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,화물,남,65세,기타불명,보행자,여,63세,경상
노인운전자사고,2020040700100167,2020년 4월 7일 11시,화요일,부산광역시 사하구 감천동,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,77세,상해없음,화물,남,51세,중상
노인운전자사고,2020040700100168,2020년 4월 7일 11시,화요일,부산광역시 연제구 연산동,중상사고,0,1,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,여,75세,기타불명,승용,남,61세,중상
노인운전자사고,2020040700100196,2020년 4월 7일 12시,화요일,부산광역시 중구 남포동2가,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,72세,부상신고,이륜,남,69세,상해없음
노인운전자사고,2020040700100389,2020년 4월 7일 18시,화요일,부산광역시 연제구 거제동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,65세,상해없음,보행자,여,9세,경상
노인운전자사고,2020040800100092,2020년 4월 8일 08시,수요일,부산광역시 부산진구 양정동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,기타 - 기타,승용,남,73세,상해없음,자전거,남,50세,경상
