사고부문,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
노인사고,2020110200100245,2020년 11월 2일 12시,월요일,부산광역시 수영구 망미동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,단일로 - 기타,승용,남,63세,상해없음,자전거,남,72세,경상
노인사고,2020110200100283,2020년 11월 2일 13시,월요일,부산광역시 부산진구 양정동,부상신고사고,0,0,0,1,차대사람 - 차도통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,53세,상해없음,보행자,여,67세,부상신고
노인사고,2020110200100315,2020년 11월 2일 14시,월요일,부산광역시 사하구 하단동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,58세,상해없음,보행자,여,83세,경상
노인사고,2020110200100316,2020년 11월 2일 14시,월요일,부산광역시 수영구 수영동,경상사고,0,0,2,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,50세,상해없음,보행자,여,80세,경상
노인사고,2020110200100352,2020년 11월 2일 15시,월요일,부산광역시 동래구 온천동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,화물,남,45세,상해없음,보행자,남,75세,중상
노인사고,2020110200100479,2020년 11월 2일 18시,월요일,부산광역시 북구 덕천동,부상신고사고,0,0,0,1,차대사람 - 기타,보행자보호의무위반,건조,맑음,교차로 - 교차로안,원동기,남,21세,상해없음,보행자,남,66세,부상신고
노인사고,2020110300100025,2020년 11월 3일 02시,화요일,부산광역시 연제구 연산동,중상사고,0,1,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,35세,상해없음,승용,남,66세,경상
노인사고,2020110300100204,2020년 11월 3일 10시,화요일,부산광역시 금정구 서동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,53세,상해없음,보행자,남,65세,경상
노인사고,2.02011E+15,2020년 11월 3일 13시,화요일,부산광역시 서구 서대신동1가,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,자전거,여,71세,중상,특수,남,58세,상해없음
노인사고,2.02011E+15,2020년 11월 3일 22시,화요일,부산광역시 동구 초량동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,27세,상해없음,보행자,남,66세,중상
