사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,고속도로명
2022080300100229,2022년 8월 3일 12시,수요일,경기도 안산시 상록구 장하동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 교량,화물,남,68세,상해없음,승용,남,48세,경상,서해안고속도로
2022080400100318,2022년 8월 4일 15시,목요일,충청남도 서산시 운산면,경상사고,0,0,9,0,차대차 - 추돌,안전거리미확보,건조,맑음,기타 - 기타,승용,여,24세,경상,승용,남,38세,경상,서해안고속도로
2022080500100257,2022년 8월 5일 13시,금요일,충청남도 당진시 송악읍,중상사고,0,6,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,46세,상해없음,승용,남,43세,중상,서해안고속도로
2022080600100329,2022년 8월 6일 16시,토요일,전라남도 무안군 일로읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,23세,상해없음,승용,여,30세,경상,서해안고속도로
2022080700100184,2022년 8월 7일 14시,일요일,충청남도 당진시 송악읍,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21세,상해없음,승용,남,31세,중상,서해안고속도로
2022080900100136,2022년 8월 9일 10시,화요일,충청남도 홍성군 갈산면,중상사고,0,1,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,25세,상해없음,특수,남,59세,경상,서해안고속도로
2022080900100231,2022년 8월 9일 13시,화요일,경기도 시흥시 조남동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,젖음/습기,비,단일로 - 기타,승용,여,40세,상해없음,승용,남,52세,경상,서해안고속도로
2022081100100032,2022년 8월 11일 04시,목요일,충청남도 보령시 웅천읍,사망사고,1,1,0,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,기타 - 기타,특수,남,47세,사망,화물,남,52세,중상,서해안고속도로
2022081100100033,2022년 8월 11일 04시,목요일,충청남도 보령시 웅천읍,경상사고,0,0,1,0,차량단독 - 전도전복 - 전도,안전운전불이행,젖음/습기,비,단일로 - 기타,화물,남,52세,경상,,,,,서해안고속도로
2022081100100034,2022년 8월 11일 04시,목요일,충청남도 보령시 웅천읍,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,젖음/습기,흐림,단일로 - 기타,승용,남,40세,경상,,,,,서해안고속도로
2022081100100035,2022년 8월 11일 04시,목요일,충청남도 보령시 웅천읍,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,젖음/습기,흐림,단일로 - 기타,승용,남,49세,경상,,,,,서해안고속도로
2022081200100124,2022년 8월 12일 09시,금요일,경기도 평택시 포승읍,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51세,상해없음,승용,남,62세,부상신고,서해안고속도로
2022081200100460,2022년 8월 12일 18시,금요일,경기도 평택시 청북읍,중상사고,0,1,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,30세,상해없음,승용,남,59세,중상,서해안고속도로
2022081500100250,2022년 8월 15일 15시,월요일,경기도 화성시 팔탄면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,59세,상해없음,승용,남,45세,경상,서해안고속도로
2022081800100331,2022년 8월 18일 15시,목요일,충청남도 당진시 송악읍,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,66세,상해없음,승용,남,40세,부상신고,서해안고속도로
2022082000100176,2022년 8월 20일 11시,토요일,경기도 안산시 상록구 팔곡일동,경상사고,0,0,3,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,28세,상해없음,승용,남,36세,경상,서해안고속도로
2022082000100201,2022년 8월 20일 11시,토요일,서울특별시 금천구 가산동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,59세,상해없음,승용,남,31세,경상,서해안고속도로
2022082200100209,2022년 8월 22일 11시,월요일,경기도 화성시 매송면,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,68세,상해없음,승용,남,66세,경상,서해안고속도로
2022082300100374,2022년 8월 23일 16시,화요일,경기도 화성시 팔탄면,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,기타 - 기타,승용,남,39세,상해없음,승용,여,55세,경상,서해안고속도로
2022082800100007,2022년 8월 28일 00시,일요일,충청남도 당진시 정미면,중상사고,0,2,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,26세,상해없음,승용,남,65세,중상,서해안고속도로
2022083000100264,2022년 8월 30일 13시,화요일,경기도 안산시 상록구 부곡동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,화물,남,58세,상해없음,화물,남,62세,경상,서해안고속도로
2022083000100502,2022년 8월 30일 19시,화요일,경기도 안산시 상록구 장하동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,젖음/습기,비,단일로 - 기타,화물,남,56세,상해없음,승용,남,36세,경상,서해안고속도로
2022090100100448,2022년 9월 1일 17시,목요일,경기도 평택시 청북읍,사망사고,1,3,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,승용,남,48세,중상,서해안고속도로
2022090200100268,2022년 9월 2일 12시,금요일,경기도 화성시 팔탄면,사망사고,1,0,2,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,67세,상해없음,화물,남,37세,경상,서해안고속도로
2022090300100075,2022년 9월 3일 05시,토요일,전라북도 부안군 동진면,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,흐림,단일로 - 기타,승용,남,27세,경상,화물,남,48세,중상,서해안고속도로
2022090300100576,2022년 9월 3일 21시,토요일,경기도 광명시 일직동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,26세,상해없음,승용,남,41세,경상,서해안고속도로
2022090600100338,2022년 9월 6일 16시,화요일,충청남도 서천군 서천읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,화물,남,50세,경상,서해안고속도로
2022090600100581,2022년 9월 6일 22시,화요일,경기도 시흥시 목감동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 교량,승합,남,66세,상해없음,승용,남,60세,경상,서해안고속도로
2022090700100643,2022년 9월 7일 20시,수요일,경기도 화성시 매송면,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,54세,상해없음,화물,남,34세,중상,서해안고속도로
2022090700100690,2022년 9월 7일 21시,수요일,경기도 안산시 상록구 장하동,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,73세,상해없음,승용,여,56세,중상,서해안고속도로
2022090800100764,2022년 9월 8일 21시,목요일,충청남도 서산시 고북면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,73세,상해없음,승용,남,61세,경상,서해안고속도로
2022091000100211,2022년 9월 10일 14시,토요일,전라남도 무안군 몽탄면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,25세,상해없음,승용,여,48세,경상,서해안고속도로
2022091100100029,2022년 9월 11일 03시,일요일,경기도 안산시 상록구 장하동,경상사고,0,0,3,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,승용,남,61세,기타불명,승용,남,27세,경상,서해안고속도로
2022091100100358,2022년 9월 11일 22시,일요일,충청남도 보령시 천북면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,33세,상해없음,승용,남,56세,경상,서해안고속도로
2022091200100008,2022년 9월 12일 00시,월요일,전라남도 무안군 몽탄면,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,25세,중상,화물,남,51세,경상,서해안고속도로
2022091500100194,2022년 9월 15일 11시,목요일,경기도 안산시 상록구 장하동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,47세,상해없음,승용,여,66세,경상,서해안고속도로
2022091600100044,2022년 9월 16일 05시,금요일,경기도 화성시 매송면,중상사고,0,1,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,55세,상해없음,승용,여,46세,경상,서해안고속도로
2022091600100087,2022년 9월 16일 07시,금요일,경기도 시흥시 조남동,경상사고,0,0,4,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,59세,상해없음,화물,남,55세,경상,서해안고속도로
2022091600100281,2022년 9월 16일 13시,금요일,전라남도 함평군 신광면,사망사고,1,0,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,60세,사망,,,,,서해안고속도로
2022092000100623,2022년 9월 20일 22시,화요일,전라북도 김제시 죽산면,중상사고,0,1,1,0,차대차 - 정면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,여,25세,경상,승용,여,47세,중상,서해안고속도로
2022092500100021,2022년 9월 25일 01시,일요일,경기도 화성시 비봉면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51세,상해없음,승용,남,37세,경상,서해안고속도로
2022092500100100,2022년 9월 25일 09시,일요일,경기도 안산시 상록구 장하동,중상사고,0,2,0,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 교량,승용,여,56세,상해없음,승용,남,65세,중상,서해안고속도로
2022092500100381,2022년 9월 25일 19시,일요일,충청남도 당진시 송악읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,화물,남,65세,상해없음,승용,남,27세,경상,서해안고속도로
2022092500100384,2022년 9월 25일 19시,일요일,전라남도 무안군 일로읍,경상사고,0,0,5,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,40세,경상,승용,남,39세,경상,서해안고속도로
2022092500100393,2022년 9월 25일 19시,일요일,경기도 시흥시 조남동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 교량,승용,남,38세,상해없음,승용,남,30세,경상,서해안고속도로
2022092600100337,2022년 9월 26일 15시,월요일,경기도 화성시 매송면,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승용,남,61세,경상,서해안고속도로
