사고부문,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
자전거사고,2022043000100096,2022년 4월 30일 09시,토요일,부산광역시 연제구 거제동,경상사고,0,0,1,0,차량단독 - 도로외이탈 - 기타,안전운전불이행,건조,맑음,기타 - 기타,자전거,여,52세,경상,,,,
자전거사고,2022043000100218,2022년 4월 30일 13시,토요일,부산광역시 남구 용호동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,69세,중상,승용,여,44세,상해없음
자전거사고,2022043000100222,2022년 4월 30일 13시,토요일,부산광역시 강서구 대저1동,부상신고사고,0,0,0,1,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,자전거,남,73세,부상신고,승용,여,60세,상해없음
자전거사고,2.02205E+15,2022년 5월 2일 12시,월요일,부산광역시 해운대구 반여동,중상사고,0,1,0,0,차대사람 - 기타,기타,건조,맑음,기타 - 기타,자전거,남,25세,상해없음,보행자,여,67세,중상
자전거사고,2022050200100419,2022년 5월 2일 17시,월요일,부산광역시 동래구 수안동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,자전거,여,62세,경상,승용,남,52세,상해없음
자전거사고,2022050300100236,2022년 5월 3일 12시,화요일,부산광역시 수영구 민락동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,자전거,남,63세,상해없음,자전거,남,26세,경상
자전거사고,2022050300100333,2022년 5월 3일 15시,화요일,부산광역시 해운대구 좌동,부상신고사고,0,0,0,1,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,자전거,남,14세,부상신고,승용,여,40세,상해없음
자전거사고,2022050900100191,2022년 5월 9일 11시,월요일,부산광역시 부산진구 부전동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,33세,경상,승용,남,59세,경상
자전거사고,2022050900100481,2022년 5월 9일 18시,월요일,부산광역시 강서구 화전동,경상사고,0,0,1,0,차대차 - 기타,불법유턴,건조,맑음,교차로 - 교차로횡단보도내,자전거,남,30세,경상,승용,남,42세,상해없음
자전거사고,2022051100100079,2022년 5월 11일 08시,수요일,부산광역시 사하구 괴정동,중상사고,0,1,0,0,차대차 - 기타,불법유턴,건조,맑음,단일로 - 기타,자전거,남,71세,중상,승용,남,49세,상해없음
자전거사고,2.02205E+15,2022년 5월 14일 11시,토요일,부산광역시 동래구 안락동,중상사고,0,1,0,0,차대차 - 정면충돌,안전운전불이행,기타,맑음,기타 - 기타,자전거,남,73세,상해없음,자전거,여,35세,중상
자전거사고,2022051600100516,2022년 5월 16일 19시,월요일,부산광역시 강서구 명지동,중상사고,0,1,0,0,차대차 - 기타,불법유턴,건조,맑음,교차로 - 교차로횡단보도내,자전거,남,68세,중상,승용,남,27세,상해없음
자전거사고,2022051800100215,2022년 5월 18일 12시,수요일,부산광역시 연제구 연산동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,33세,부상신고,승용,남,34세,상해없음
자전거사고,2022051800100329,2022년 5월 18일 15시,수요일,부산광역시 기장군 정관읍,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,자전거,남,57세,상해없음,보행자,남,6세,중상
자전거사고,2022052000100071,2022년 5월 20일 07시,금요일,부산광역시 사상구 삼락동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,자전거,남,63세,기타불명,보행자,여,54세,중상
자전거사고,2022052000100379,2022년 5월 20일 16시,금요일,부산광역시 남구 대연동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,교차로 - 교차로부근,자전거,남,16세,경상,승용,남,22세,상해없음
자전거사고,2022052000100642,2022년 5월 20일 22시,금요일,부산광역시 부산진구 전포동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,자전거,남,31세,상해없음,이륜,남,34세,경상
자전거사고,2022052200100061,2022년 5월 22일 07시,일요일,부산광역시 기장군 장안읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,45세,상해없음,자전거,남,45세,경상
자전거사고,2022052400100207,2022년 5월 24일 11시,화요일,부산광역시 사하구 하단동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,자전거,여,47세,상해없음,보행자,여,78세,경상
자전거사고,2022052400100296,2022년 5월 24일 14시,화요일,부산광역시 사하구 하단동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,30세,상해없음,보행자,여,42세,중상
자전거사고,2022052500100084,2022년 5월 25일 08시,수요일,부산광역시 연제구 연산동,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,건조,맑음,단일로 - 기타,자전거,남,56세,경상,승용,남,39세,상해없음
자전거사고,2022052600100608,2022년 5월 26일 21시,목요일,부산광역시 해운대구 우동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,14세,상해없음,보행자,여,26세,중상
자전거사고,2022053100100183,2022년 5월 31일 10시,화요일,부산광역시 서구 토성동4가,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,74세,부상신고,승용,남,52세,상해없음
자전거사고,2022053100100615,2022년 5월 31일 20시,화요일,부산광역시 동래구 명륜동,부상신고사고,0,0,0,2,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,자전거,남,15세,부상신고,이륜,남,39세,부상신고
자전거사고,2022060100100115,2022년 6월 1일 08시,수요일,부산광역시 수영구 망미동,중상사고,0,2,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,51세,중상,자전거,남,60세,중상
자전거사고,2022060200100031,2022년 6월 2일 06시,목요일,부산광역시 금정구 선동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,74세,부상신고,승용,남,72세,상해없음
자전거사고,2022060700100048,2022년 6월 7일 07시,화요일,부산광역시 부산진구 연지동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,자전거,남,68세,상해없음,보행자,여,75세,중상
자전거사고,2022060700100081,2022년 6월 7일 08시,화요일,부산광역시 수영구 망미동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,77세,부상신고,승용,남,58세,상해없음
자전거사고,2022060900100132,2022년 6월 9일 09시,목요일,부산광역시 강서구 대저1동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 지하차도(도로)내,자전거,남,67세,경상,승용,남,69세,상해없음
자전거사고,2022060900100402,2022년 6월 9일 18시,목요일,부산광역시 강서구 명지동,경상사고,0,0,1,0,차대차 - 정면충돌,중앙선침범,건조,맑음,단일로 - 기타,자전거,남,14세,경상,승용,여,49세,상해없음
자전거사고,2022061200100099,2022년 6월 12일 10시,일요일,부산광역시 해운대구 중동,경상사고,0,0,1,1,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,49세,부상신고,보행자,여,54세,경상
자전거사고,2022061300100143,2022년 6월 13일 10시,월요일,부산광역시 수영구 민락동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,자전거,여,63세,경상,화물,남,55세,상해없음
자전거사고,2022061700100449,2022년 6월 17일 18시,금요일,부산광역시 동래구 안락동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,여,67세,상해없음,보행자,여,7세,중상
자전거사고,2022061800100293,2022년 6월 18일 14시,토요일,부산광역시 중구 남포동1가,부상신고사고,0,0,0,1,차대사람 - 보도통행중,기타,건조,맑음,단일로 - 기타,자전거,남,14세,상해없음,보행자,여,70세,부상신고
자전거사고,2022061900100153,2022년 6월 19일 12시,일요일,부산광역시 연제구 거제동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,자전거,남,9세,상해없음,보행자,남,49세,경상
자전거사고,2022062000100407,2022년 6월 20일 16시,월요일,부산광역시 사상구 엄궁동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,자전거,남,9세,상해없음,보행자,여,72세,경상
자전거사고,2022062000100566,2022년 6월 20일 21시,월요일,부산광역시 연제구 연산동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,13세,부상신고,승용,여,49세,상해없음
자전거사고,2022062100100577,2022년 6월 21일 22시,화요일,부산광역시 중구 남포동6가,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,자전거,남,24세,중상,승용,여,26세,상해없음
자전거사고,2022062500100238,2022년 6월 25일 12시,토요일,부산광역시 서구 남부민동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,61세,중상,승용,남,55세,상해없음
