사고부문,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
택시사고,2022081900100122,2022년 8월 19일 09시,금요일,부산광역시 사하구 하단동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,68세,상해없음,화물,남,55세,경상
택시사고,2022081900100227,2022년 8월 19일 12시,금요일,부산광역시 부산진구 가야동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,기타,건조,맑음,단일로 - 기타,승용,남,65세,기타불명,보행자,남,51세,경상
택시사고,2022081900100291,2022년 8월 19일 14시,금요일,부산광역시 사하구 신평동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,71세,상해없음,승용,여,31세,경상
택시사고,2022082000100111,2022년 8월 20일 09시,토요일,부산광역시 영도구 봉래동4가,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,67세,상해없음,승용,남,30세,경상
택시사고,2022082000100387,2022년 8월 20일 16시,토요일,부산광역시 수영구 민락동,경상사고,0,0,5,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,73세,경상,승용,여,27세,경상
택시사고,2022082000100567,2022년 8월 20일 21시,토요일,부산광역시 부산진구 당감동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,54세,상해없음,승용,남,55세,경상
택시사고,2.02208E+15,2022년 8월 21일 11시,일요일,부산광역시 금정구 청룡동,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,건조,맑음,교차로 - 교차로안,승용,남,66세,상해없음,승용,여,31세,경상
택시사고,2.02208E+15,2022년 8월 21일 21시,일요일,부산광역시 연제구 연산동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,72세,상해없음,승용,여,56세,경상
택시사고,2022082200100031,2022년 8월 22일 06시,월요일,부산광역시 사상구 주례동,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 기타,승용,남,71세,상해없음,승용,남,34세,경상
택시사고,2022082200100537,2022년 8월 22일 23시,월요일,부산광역시 부산진구 개금동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,기타 - 기타,승용,남,60세,상해없음,이륜,남,17세,경상
택시사고,2022082300100247,2022년 8월 23일 13시,화요일,부산광역시 강서구 명지동,중상사고,0,1,0,0,차대차 - 기타,중앙선침범,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,이륜,남,29세,중상
택시사고,2022082300100541,2022년 8월 23일 20시,화요일,부산광역시 사하구 당리동,경상사고,0,0,2,1,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,65세,부상신고,승용,여,59세,경상
택시사고,2022082400100308,2022년 8월 24일 14시,수요일,부산광역시 동구 범일동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,57세,상해없음,승용,남,49세,상해없음
택시사고,2022082400100531,2022년 8월 24일 20시,수요일,부산광역시 서구 아미동2가,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,67세,상해없음,보행자,여,60세,중상
택시사고,2022082500100113,2022년 8월 25일 09시,목요일,부산광역시 부산진구 부전동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,70세,상해없음,승용,여,53세,경상
택시사고,2022082800100037,2022년 8월 28일 03시,일요일,부산광역시 부산진구 양정동,중상사고,0,1,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,남,58세,상해없음,보행자,남,57세,중상
택시사고,2022082800100088,2022년 8월 28일 09시,일요일,부산광역시 금정구 부곡동,경상사고,0,0,1,0,차대차 - 측면충돌,기타,건조,맑음,교차로 - 교차로안,승용,남,64세,상해없음,승용,여,24세,상해없음
택시사고,2022082800100405,2022년 8월 28일 19시,일요일,부산광역시 남구 문현동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,기타 - 기타,승용,남,59세,상해없음,이륜,남,35세,경상
택시사고,2022082900100003,2022년 8월 29일 00시,월요일,부산광역시 부산진구 범천동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,75세,상해없음,보행자,여,44세,경상
