사고부문,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
뺑소니사고,2021062000100361,2021년 6월 20일 18시,일요일,부산광역시 금정구 장전동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,이륜,남,35세,경상
뺑소니사고,2021062000100422,2021년 6월 20일 20시,일요일,부산광역시 금정구 회동동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,70세,상해없음,승용,남,41세,경상
뺑소니사고,2021062100100199,2021년 6월 21일 11시,월요일,부산광역시 금정구 부곡동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,74세,상해없음,승용,남,65세,부상신고
뺑소니사고,2021062200100035,2021년 6월 22일 06시,화요일,부산광역시 북구 덕천동,중상사고,0,1,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,화물,남,38세,상해없음,승용,남,58세,중상
뺑소니사고,2021062200100079,2021년 6월 22일 08시,화요일,부산광역시 금정구 서동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,보행자,남,11세,부상신고
뺑소니사고,2021062200100122,2021년 6월 22일 09시,화요일,부산광역시 사상구 학장동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,66세,상해없음,승용,남,64세,경상
뺑소니사고,2021062200100299,2021년 6월 22일 14시,화요일,부산광역시 수영구 망미동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,40세,상해없음,자전거,남,11세,경상
뺑소니사고,2.02106E+15,2021년 6월 23일 15시,수요일,부산광역시 부산진구 부전동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,73세,기타불명,화물,남,36세,중상
뺑소니사고,2021062400100136,2021년 6월 24일 09시,목요일,부산광역시 사상구 감전동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 교량,화물,남,49세,상해없음,승용,여,38세,경상
뺑소니사고,2021062500100268,2021년 6월 25일 13시,금요일,부산광역시 동구 좌천동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,55세,상해없음,승용,여,46세,경상
