"강원특별자치도",동해시,17,-,25,18,-,23
"강원특별자치도",태백시,7,-,8,13,-,20
"강원특별자치도",속초시,19,-,26,30,1,39
"강원특별자치도",삼척시,8,-,9,10,-,10
"강원특별자치도",홍천군,20,-,29,17,-,22
"강원특별자치도",횡성군,12,-,16,7,-,10
"강원특별자치도",영월군,13,-,16,9,-,12
"강원특별자치도",평창군,13,-,18,12,-,16
"강원특별자치도",정선군,6,-,9,10,-,12
"강원특별자치도",철원군,7,-,9,5,-,6
"강원특별자치도",화천군,7,-,9,7,-,12
"강원특별자치도",양구군,4,-,4,3,-,4
"강원특별자치도",인제군,4,-,5,7,-,10
"강원특별자치도",고성군,7,-,10,16,-,20
"강원특별자치도",양양군,4,-,6,7,-,14
"충청북도",소계,365,2,434,381,-,486
"충청북도",충주시,45,-,49,52,-,62
"충청북도",제천시,31,1,35,32,-,43
"충청북도",청주시,211,-,252,208,-,261
"충청북도",보은군,8,1,10,8,-,9
"충청북도",옥천군,5,-,6,5,-,7
"충청북도",영동군,4,-,4,6,-,7
"충청북도",진천군,20,-,23,22,-,33
"충청북도",괴산군,8,-,13,8,-,9
"충청북도",음성군,16,-,22,21,-,30
"충청북도",단양군,3,-,3,6,-,10
"충청북도",증평군,14,-,17,13,-,15
"충청남도",소계,382,3,479,411,1,534
"충청남도",천안시,138,-,174,135,-,165
"충청남도",공주시,24,-,33,27,-,37
"충청남도",보령시,11,-,13,18,-,22
"충청남도",아산시,66,-,70,77,-,94
"충청남도",서산시,26,-,34,28,1,49
"충청남도",논산시,20,-,24,24,-,32
"충청남도",계룡시,3,-,4,4,-,5
"충청남도",당진시,28,2,34,26,-,39
"충청남도",금산군,4,-,5,5,-,9
"충청남도",부여군,5,-,7,9,-,11
"충청남도",서천군,6,-,8,11,-,13
"충청남도",청양군,8,-,11,4,-,6
"충청남도",홍성군,15,-,23,10,-,13
"충청남도",예산군,11,-,15,14,-,18
"충청남도",태안군,17,1,24,19,-,21
"전라북도",소계,262,1,336,259,-,323
"전라북도",전주시,98,1,119,103,-,124
"전라북도",군산시,46,-,60,57,-,74
"전라북도",익산시,57,-,67,42,-,51
"전라북도",정읍시,16,-,26,12,-,16
"전라북도",남원시,7,-,8,8,-,9
"전라북도",김제시,9,-,13,12,-,18
"전라북도",완주군,8,-,14,6,-,6
"전라북도",진안군,-,-,-,1,-,1
"전라북도",무주군,6,-,13,5,-,10
"전라북도",장수군,1,-,1,1,-,1
"전라북도",임실군,1,-,1,2,-,2
"전라북도",순창군,1,-,1,2,-,2
"전라북도",고창군,5,-,6,4,-,4
"전라북도",부안군,7,-,7,4,-,5
"전라남도",소계,432,2,544,416,1,525
"전라남도",목포시,73,-,89,73,-,92
"전라남도",여수시,68,-,83,69,-,88
"전라남도",순천시,69,-,91,59,-,70
"전라남도",나주시,20,-,22,28,1,32
"전라남도",광양시,38,-,46,33,-,39
"전라남도",담양군,14,-,20,15,-,19
"전라남도",곡성군,6,-,11,4,-,5
"전라남도",구례군,4,-,5,2,-,4
"전라남도",고흥군,12,1,16,11,-,15
"전라남도",보성군,2,-,3,3,-,5
"전라남도",화순군,12,-,18,15,-,15
"전라남도",장흥군,5,-,6,9,-,14
"전라남도",강진군,12,-,13,9,-,10
"전라남도",해남군,15,-,19,14,-,15
"전라남도",영암군,19,-,23,18,-,23
"전라남도",무안군,23,-,24,17,-,24
"전라남도",함평군,7,1,7,6,-,8
"전라남도",영광군,5,-,5,4,-,4
"전라남도",장성군,9,-,14,12,-,17
"전라남도",완도군,10,-,14,8,-,17
"전라남도",진도군,4,-,4,2,-,2
"전라남도",신안군,5,-,11,5,-,7
"경상북도",소계,516,3,676,499,4,625
"경상북도",포항시,111,-,160,100,-,131
"경상북도",경주시,68,1,83,60,1,82
"경상북도",김천시,20,-,25,25,1,29
"경상북도",안동시,30,-,42,27,1,31
"경상북도",구미시,66,-,82,71,-,82
"경상북도",영주시,9,1,10,17,-,17
"경상북도",영천시,35,-,58,18,-,25
"경상북도",상주시,17,-,18,20,-,27
"경상북도",문경시,9,-,12,15,1,21
"경상북도",경산시,47,-,56,44,-,53
"경상북도",군위군,8,-,9,4,-,4
"경상북도",의성군,4,-,4,3,-,3
"경상북도",청송군,3,-,3,3,-,4
"경상북도",영양군,2,-,2,1,-,2
"경상북도",영덕군,15,-,20,13,-,17
"경상북도",청도군,3,-,4,12,-,15
"경상북도",고령군,7,-,8,6,-,9
"경상북도",성주군,14,-,17,10,-,12
"경상북도",칠곡군,35,-,49,35,-,44
"경상북도",예천군,7,-,8,4,-,4
"경상북도",봉화군,4,1,4,3,-,3
"경상북도",울진군,2,-,2,8,-,10
"경상북도",울릉군,-,-,-,-,-,-
"경상남도",소계,489,1,583,487,1,623
"경상남도",진주시,31,-,34,19,-,21
"경상남도",통영시,34,-,41,30,-,39
"경상남도",사천시,23,-,29,37,-,49
"경상남도",김해시,76,-,94,85,-,102
"경상남도",밀양시,12,-,14,12,-,14
"경상남도",거제시,58,-,68,42,-,51
"경상남도",양산시,54,-,63,60,-,76
"경상남도",창원시,122,1,141,129,-,167
"경상남도",의령군,4,-,5,1,-,1
"경상남도",함안군,8,-,9,14,-,17
"경상남도",창녕군,9,-,10,14,1,29
"경상남도",고성군,11,-,13,6,-,8
"경상남도",남해군,8,-,9,10,-,12
"경상남도",하동군,3,-,6,5,-,6
"경상남도",산청군,8,-,15,4,-,4
"경상남도",함양군,9,-,11,9,-,11
"경상남도",거창군,12,-,14,8,-,13
"경상남도",합천군,7,-,7,2,-,3
"제주특별자치도",소계,277,-,366,255,2,317
"제주특별자치도",제주시,201,-,261,184,1,222
"제주특별자치도",서귀포시,76,-,105,71,1,95
